tweet,label
aspek historis calon ibu kota negara kuta kartanegara punya jalan panjang dalam sejarah bagai raja tua di nusantara pindah ibukota negara ke kuta kartanegara ulang kembali sejarah pusat adab nusantara ,0
gubernur kaltim pindah ibu kota di bukit soeharto dan samboja  nama ibukota baru cocok kota administrasi soeharto,0
politikus demokrat sebut pindah ibu kota harus ada jajak dapat dulu - warta ekonomi ,-1
lagi pula pindah ibu kota ke kaltim kes jadi putus final padahal banyak uu yg harus ubah buat baru kalau dpr nggak mau ya nggak bisa lagi pula juga kaji bappenas harus uji publik oleh akademisi lembaga teliti dan bahkan dpr inti belum final,-1
negara kelola cara sporadis pemindahanibukota,0
alas pindah ibu kota karena beban jakarta sudah terlalu berat pic twitter com k7jxscmayg,1
mudah2an biaya pindah ibu kota tidak jadi ajang mega korupsi edisi baru di indonesia saveindonesia ibukotabaru kpk korupsi,-1
pindah ibu kota ke kalimantan timur bagaimana akan timbul arus urbanisasi ,0
ada beberapa aspek yang kaji dalam pindah ibu kota ini,0
tuju alas realisasi sila ke 5 adil sosial bagi seluruh rakyat indonesia dgn perata multiplier effect pindah ibu kota dan alas teknis lain atas kondisi jkt dan pulau jawa,1
pindah ibu kota alih isu papua ,-1
tanya sederhana adalah jk anda turut komentar pindah ibu kota negara mk apa tanggap anda dgn prmintaan kawan anda anies baswedan-gub dki jkt yg minta rp 571 t utk baik dki jkt ada komen cerdas dr anda,0
abis ngumumin pindah ibu kota negara biasa jawab pake gempa entah di daerah mana we ll see,-1
kakak dapid td lg meeting pindah ibu kota kata,0
bapak tdk tolak tp bapak cuma jelas kakurangannya sja  tp tdk sisi baik  coba bapak sma2 kita utara hal baik dr pindah ibu kota  biar masyarakat jgn hanya liat pandang bapak dr 1 sisi  sehingga buat arah pikir masyarakat hanya 1 arah,0
hal yang perlu tahu soal pindah ibu kota ada beberapa poin yang perlu,0
pindah ibu kota bukan solusi justru tambah masalah baru karena ada di jalur obor cina yang justru akan mudah cina kuasa indonesia batalkanpindahibukota ibukotabaru ibukotapindah pic twitter com um1zmmt7xj,-1
pindah ibu kota trending di twitter lihat komentar lucu warganet  via,0
proses pindah makan biaya 466 t bagi tanggung wilayah ibu kota baru eh ya bener sih mindahin ke provinsi kaya se indonesia biar duit kepake ya,-1
kait rencana pindah ibu kota di kalimantan banyak yang bakar jenggot dengar hal tsb kenapa karna jika jadi pindah maka jualan2 agama buat politik nggak bakal laku di kalimantan bener nggak bang ,1
pindah ibu kota baik lalu undang ,-1
hal yang perlu tahu soal pindah ibu kota ada beberapa poin yang per ,0
masih ngebayangin gmna proses pindah ibu kota ada yg bisa kasih gambar,0
f-pdip pindah ibu kota pernah bicara di komisi xi ,0
timbang untuk tambah utang gitu maksud dan nikmat gelintir orang kok bisa menjastifikasi dengan kalah menang saja kalau masih bisa mikir ya tolong dampak untuk ekonomi depan bagaimana baik apakah pindah ibu kota begitu penting,-1
ngomong apa kau lek sok jago kira mimpin negara ini enak kira ide pindah ibu kota dari siapa dari era belum belum,0
harap n nyata realitas yg tidak teral mobil esemka vs pindah ibu kota,-1
serius nnya skema ppp alias kpbu dalam proses pindah ibu kota bentuk kongkrit nya seperti apa ya  ntar pake sistem bot atau  mana saya bisa baca detail  nyari di web kalian ga nemu cc,0
mari kita bicara untung rugi pindah ibu kota negara luar dari mana dana bangun ibu kota negara krn saya sangat suka,0
skema pembiayan pindah ibu kota negara lewat ibukotabaru hilangnyahargadiribangsa removebanser  penajampaserutara,0
pindah ibu kota pindah thn 2024 pilih presiden mulai 2024 bakal pilih mpr dan masa jabat lama 8thn akan realisasi,0
bisnis ekspedisi bakal tingkat iring pindah ibu kota ke kaltim  pic twitter com jsqir5950c,1
seperti ada sesuatu yang besar yang sengaja tutup balik rencana pindah ibu kota tapi apa itu entah  bubarkanbanser bubarkanbanser bubarkanbanser,-1
pecah belah cuma gara gara penting politik  1 pro  kontra pindah ibu kota 2 pro  kontra bubar banser  fpi 3 pro  kontra investor asing  cukong 4 pro  kontra pin emas  mobil dinas jabat 5 pro  kontra opm hilangnyahargadiribangsa,0
pikir klo pindah ibu kota bukan pikir  ide pak jokowi apa jadi isi tl twitter ini ,0
pak dar tanya yah apakah ada yang jamin kalo proses pindah ibu kota dana nya gak di korupsi pindahibukota pindahibukotauntuksiapa,-1
pindah ibu kota utk penting siapa rakyat pasti curiga koq seperti sangat paksa apakah ada agenda lain yg sembunyi,-1
pindah ibu kota baru tak beban apbn begini presiden jokowi rinci sumber biaya  ibukotapindah ibukotaindonesia kuta kertanegara dki kertanegara pindahibukotauntuksiapa pindahibukota kaltim pic twitter com rcjkjewmcn,0
semua terlalu sibuk urusin pindah ibu kota ayo semua sibuk perbaikin moral juga,-1
anies minta anggar 500t untuk cantik dki pindahin ibu kota anggar 477t koq bisa lebih murah anggar pindah kota pantesan dki di bikin amburadul oleh anies dengan tuju utk oleh anggar 500t wah asik anggar bisa jadi bancak,1
jaring advokasi tambang jatam kira pindah ibu kota ini hanya akan untung milik ,-1
apa kah pindah ibu kota akan nambah utang lagi modal swasta yg libat dari china ya,-1
knp ibu kota hrus paksa pindah pdhal masih banyak kerja perintah yg lain yg lbih penting spt jangan naikin iur bpjs jangan naikin listrik dan bbm pindah ibu kota adalah kerja besar besar biaya dan lain pikir logis utk sejahtera rakyat dulu lah,-1
gubernur dki jakarta anies baswedan tanggap positif rencana pindah ibu kota karena yang pindah hanya pusat perintah dan jakarta tetap prioritas bangun dan tetap jadi kota bisnis uang pusat dagang dan jasa  ,1
ibukotabaru yusufmansur di luar pro kontra pindah ibu kota semua pasti punya pandang yg pro ada yg kontra ada jika pindah saya dan kita semua siap2 aja beli gedung2 perintah kita jadiin pesantren tahfizh hehehe biar jkt jd kota pesantren  pic twitter com w8hxhfvp69,1
kawankabinet yuk simak alas pindah ibu kota yang muka presiden joko widodo pada konferensi pers di istana negara jakarta senin 26 8 ibukotabaru ibukotapindah kebijakanpemerintah kutaikartanegara kartanegara kalimantantimur pic twitter com lswm3kpdrl,0
sepi respon rakyat tak ada gegap gempita tak ada harap pindah ibu kota hanya jadi agenda gelintir elit mereka para demagog politik dan makelar apa untung tergesa2 dengan kondisi ekonomi yg morat marit hutang tumpuk ampun ,-1
para laku usaha minta agar pindah ibu kota indonesia dari dki jakarta ke kalimantan timur laku hati di tengah kondisi ekonomi yang tak tentu ,1
dalam kondisi seperti ini plus hutang negara yang 5000 t bangga dengan pindah ibu kota yang butuh biaya 500 t gue masih nyari apa sih urgensi tengah ekonomi yang lemah ,-1
ini kata kalang usaha kait pindah ibu kota ke kaltim ,0
baca data calon ibu kota presiden jokowi baru saja sampai wacana pindah ibukotabaru tuju provinsi kalimantan timur dua wilayah yang aju adalah kabupaten kuta kartanegara dan kabupaten najam ,0
kait pindah ibu kota mardani pks perintah harus segera aju 6 undang ,0
apbn akan biaya pindah ibu kota ke kalimantan timur besar rp 93 5 triliun atau 19 2 dari total anggar yang butuh ,1
masyarakat gunung mas minta hormat putus pindah ibu kota ,1
ini alas pindah ibu kota baru di oenajam pasir utara dan kuta kartenegara  pic twitter com trcmr0xw3m,0
