tweet,label
Peneliti: Presiden perlu bentuk Badan Otorita Pemindahan Ibu Kota — ANTARA News – Berita Terkini    …,0
Pembangunan PLTN di Kalbar mantapkan pemindahan ibu kota negara — ANTARA News – Berita Terkini    …,1
Prabowo setuju karena pemindahan ibu kota sudah menjadi usulan rencana jangka panjang Gerindra sejak 2014.    …,1
Pemindahan ibu kota bukti Jokowi ingin adanya pemerataan pembangunan.    …,1
Lah itu kan sdh mau di ringankan dg pemindahan ibu kota,1
"Sudahlah Pemerintah lebih paham biaya pemindahan ibu kota RI dari pada anda ngurusin OKE OCE nga becus, tidak usa bicara kalau tudak tau masalah,",1
"Rakyatnya masih banyak keluhan keluhan tapi pemerintahnya sibuk ngurusin pemindahan ibu kota, memang benar jakarta terlalu berat menyokong beban untuk menjadi ibu kota. Tetapi apakah tidak berat kalo ibu kota pindah dan mengahabiskan banyak dana? 😁 #HilangnyaHargaDiriBangsa",-1
"mas jangan terhasut dgn rencana pemindahan ibu kota negara, habis energi kita...itu hanya pengalihan issue pd saat pemerintah kesulitan mencari cara utk meningkatkan pertumbuhan dan perbaikan ekonomi",0
Keputusan pemindahan ibu kota itu sebenarnya atas dasar urgensi atau cuma cari sensasi?,-1
Kok gue sanksi ya pemindahan ibu kota tidak akan jadi🤣 soalnya udah keseringan Si Joko ngegombal😂,-1
"Jakarta ke Kalimantan, akan menjadi terobosan yang sangat bermanfaat kepada Indonesia di dua puluh, tiga puluh, se-abad yang akan mendatang.  Oleh karena itu, mari kita dukung dan sukseskan pemindahan ibu kota negara kita Indonesia ini.",1
"Bila pemindahan Ibu Kota tidak dilakukan sebelum Pilgub DKI, artinya apa?",0
Kadin : Konsultasi Publik Pemindahan Ibu Kota Masih Kurang    ,-1
SIAPA UNTUNG? Presiden  telah secara resmi mengumumkan pemindahan ibu kota. .  Mengapa dipindahkan? Apakah karena Jakarta sudah penuh dengan masalah? Siapa aktor atas masalah-masalah itu? Mengapa tidak...    …,0
Ridwan Kamil nilai pemindahan ibu kota negara kurang efisien    … pic.twitter.com/k0mAVRqlCa,-1
Peneliti: Presiden perlu bentuk Badan Otorita Pemindahan Ibu Kota    …,0
Gmna kabarnya pemindahan ibu kota ? Apakah itu sudah fix ?,0
"Apa sih urgensi nya pemindahan ibu kota? Coba dipikirkan ulang lagi pakde , 466 T bukan main main lagi itu, iya kalau ekonomi nanti bisa stabil, harga karet dan sawit melambung tinggi.   #PindahIbuKotaUntukSiapa #HilangnyaHargaDiriBangsa #KalahMoncerIbuKotaDipindah",-1
"Jujur yah pindah ibu kota malah bikin sedih, good bye hutan dan jatung borneo. Kamu bakal jdi kenangan 😢. Gara2 mega proyek yg gak penting, pdahal ada yg jauh lebih penting dari pemindahan ibu kota. #HilangnyaHargaDiriBangsa #PindahIbuKotaUntukSiapa",-1
"Dilakukan Bertahap, Pemindahan Ibu Kota Selesai 2024    …",0
"Kebangun dari tidur, abis mimpi pendukung militan petahana mulai ketar ketir karna belum ada transparansi  kajian pemindahan ibu kota, heuheu.",-1
"Pemindahan ibu kota tak lebih dari 'kompensasi politik' atau bagi-bagi proyek pasca-pilpres  Kondisi Kaltim saat ini justru memprihatinkan karena tersandera konsesi pertambangan, perkebunan sawit, dan izin kehutanan    …",-1
"PS Jujur!  Prabowo-Hatta Ingin Pindahkan Ibu Kota Negar 22/05/2014    …  Prabowo Dukung Rencana Jokowi Soal Pemindahan Ibu Kota    …  Bantah , PDIP : Gerindra Baru Bahas Pemindahan Ibu Kota Ketika Jokowi Minta    …",1
Btw pemindahan ibu kota terkesan terburu2.. ada apa dgn Jakarta? Ada apa dengan Kalimantan?,0
Ekonom sebut pemindahan ibu kota ke Kaltim akan kurangi ketimpangan    … pic.twitter.com/wPYyryenLy,1
"Barusan baca-baca tentang pemindahan ibu kota baru, sekarang makes sense sih kenapa Kaltim dipilih tapi juga ada kekurangannya menurut gue (stupid opinion thread)",1
Masyarakat Gunung Mas diminta hormati keputusan  pemindahan ibu kota    …,0
"Gue merasa bahwa pemerintah telah memonopoli wacana pemindahan ibu kota. Apalagi setting wacana mereka hanya berkutat pada penentuan lokasi. Seolah-olah ""masalah"" pemindahan ibu kota negara hanya soal lokasi dan justru abai terhadap masalah-masalah substantif.",-1
Smg semua proses pemindahan ibu kota tidak mengalami kendala yg berarti dan  pembangunan Indonesia sentris semakin lancar.,1
"Penjualan aset negara untuk memodali pemindahan ibu kota, hal ini tidak sesuai dengan kedaulatan negara yang sedang dibangun.",-1
Pemindahan Ibu Kota Diyakini Kurangi Masalah Jakarta via    …,1
Surya Paloh: Pemindahan Ibu Kota Cerminkan Keberanian Pemerintahan Jokowi      pic.twitter.com/R297jxB9UH,1
