tweet,label
teliti presiden perlu bentuk badan otorita pindah ibu kota  antara news  berita kini ,0
bangun pltn di kalbar mantap pindah ibu kota negara  antara news  berita kini ,1
prabowo tuju karena pindah ibu kota sudah jadi usul rencana jangka panjang gerindra sejak 2014 ,1
pindah ibu kota bukti jokowi ingin ada perata bangun ,1
lah itu kan sdh mau di ringan dg pindah ibu kota,1
sudah perintah lebih paham biaya pindah ibu kota ri dari pada anda ngurusin oke oce nga becus tidak usa bicara kalau tudak tau masalah,1
rakyat masih banyak keluh keluh tapi perintah sibuk ngurusin pindah ibu kota memang benar jakarta terlalu berat sokong beban untuk jadi ibu kota tetapi apakah tidak berat kalo ibu kota pindah dan mengahabiskan banyak dana  hilangnyahargadiribangsa,-1
mas jangan hasut dgn rencana pindah ibu kota negara habis energi kita itu hanya alih issue pd saat perintah sulit cari cara utk tingkat tumbuh dan baik ekonomi,0
putus pindah ibu kota itu benar atas dasar urgensi atau cuma cari sensasi,-1
kok gue sanksi ya pindah ibu kota tidak akan jadi soal udah sering si joko ngegombal,-1
jakarta ke kalimantan akan jadi terobos yang sangat manfaat kepada indonesia di dua puluh tiga puluh se-abad yang akan datang oleh karena itu mari kita dukung dan sukses pindah ibu kota negara kita indonesia ini,1
bila pindah ibu kota tidak laku belum pilgub dki arti apa,0
kadin  konsultasi publik pindah ibu kota masih kurang,-1
siapa untung presiden telah cara resmi umum pindah ibu kota  mengapa pindah apakah karena jakarta sudah penuh dengan masalah siapa aktor atas masalah itu mengapa tidak ,0
ridwan kamil nilai pindah ibu kota negara kurang efisien  pic twitter com k0mavrqlca,-1
teliti presiden perlu bentuk badan otorita pindah ibu kota ,0
gmna kabar pindah ibu kota  apakah itu sudah fix ,0
apa sih urgensi nya pindah ibu kota coba pikir ulang lagi pakde  466 t bukan main main lagi itu iya kalau ekonomi nanti bisa stabil harga karet dan sawit lambung tinggi pindahibukotauntuksiapa hilangnyahargadiribangsa kalahmonceribukotadipindah,-1
jujur yah pindah ibu kota malah bikin sedih good bye hutan dan jatung borneo kamu bakal jdi kenang  gara2 mega proyek yg gak penting pdahal ada yg jauh lebih penting dari pindah ibu kota hilangnyahargadiribangsa pindahibukotauntuksiapa,-1
laku tahap pindah ibu kota selesai 2024 ,0
bangun dari tidur abis mimpi dukung militan tahana mulai ketar tir karna belum ada transparansi kaji pindah ibu kota heuheu,-1
pindah ibu kota tak lebih dari kompensasi politik atau bagi proyek pasca-pilpres kondisi kaltim saat ini justru prihatin karena sandera konsesi tambang kebun sawit dan izin hutan ,-1
ps jujur prabowo-hatta ingin pindah ibu kota negar 22 05 2014  prabowo dukung rencana jokowi soal pindah ibu kota  bantah  pdip  gerindra baru bahas pindah ibu kota ketika jokowi minta ,1
btw pindah ibu kota kes terburu2 ada apa dgn jakarta ada apa dengan kalimantan,0
ekonom sebut pindah ibu kota ke kaltim akan kurang timpang  pic twitter com wpyyryenly,1
barusan baca tentang pindah ibu kota baru sekarang makes sense sih kenapa kaltim pilih tapi juga ada kurang turut gue stupid opinion thread,1
masyarakat gunung mas minta hormat putus pindah ibu kota ,0
gue rasa bahwa perintah telah monopoli wacana pindah ibu kota apalagi setting wacana mereka hanya kutat pada tentu lokasi olah masalah pindah ibu kota negara hanya soal lokasi dan justru abai hadap masalah substantif,-1
smg semua proses pindah ibu kota tidak alami kendala yg arti dan bangun indonesia sentris makin lancar,1
jual aset negara untuk modal pindah ibu kota hal ini tidak sesuai dengan daulat negara yang sedang bangun,-1
pindah ibu kota yakin kurang masalah jakarta via ,1
surya paloh pindah ibu kota cermin berani perintah jokowi pic twitter com r297jxb9uh,1
siapa untung presiden telah cara resmi umum pindah ibu kota  mengapa pindah apakah karena jakarta sudah penuh dengan masalah siapa aktor atas masalah itu mengapa tidak ,0
sudah aju ke dpr ri kena usul pindah ibu kota ri lihat situasi konyol pasca-pemilu nyata yg kmrn tarung skrg gandeng tangan saya pesimis dpr ri akan tegas tuntut selesai isu lingkung di kalimantan dan lanjut vonis adil pak joko ,-1
presiden kirim surat ke dpr kena pindah ibu kota dpr pemindahanibukota presidenjokowi  pic twitter com 1zzdysjods,0
bangun pltn di kalbar mantap pindah ibu kota negara  pic twitter com dg3ufdn3tr,1
pindah ibu kota proyeksi picu risiko krisis energi  cnn indonesia  pic twitter com 9kjdocn3u8,-1
beban jakarta itu sejak orde baru sudah beban macam masalah yg tidak pernah cari jalan keluar 32thn orde baru tidak bisa pindah ibu kota ke jonggol pindah gagal total terus ikut sby gagal juga padahal rugi macet dijakarta 67 5triliun thn,-1
banyak debat ihwal urgensi pindah ibu kota sebut,0
alih ingin periode ke dua membanguna manusia yang genjot justru pindah ibu kota ,-1
yang masalah pindah ibu kota kan sudah bahas kemarin,0
jd apa fungsi klo pindah ibu kota pak tdk ada komnksinya dg wakil rakyat ,-1
saya tuju dengan upaya pindah ibu kota namun apakah untuk waktu yang dekat ini adalah pilih yang tepat samping memang banyak yang perlu siap apakah pindah ibu kota ini adalah masuk butuh yang desak sehingga harus laku cara segera,1
bingung aku sama orang2 yg nolak pindah ibu kota aku tuju sih karena indonesia butuh perata cuk,1
teliti presiden perlu bentuk badan otorita pindah ibu kota  pic twitter com wwglzx79wu,0
kenapa reaksi orang2 ke pindah ibu kota malah bikin meme pindah juga bangun dan landmark2nya kan ibu kota ga selalu harus lebih maju dari kota lain kalo gitu cara pikir semua kota harus dijadiin ibu kota dulu biar semua bisa maju,0
mantab jiwo  harus tuju kan nama kartanegara jg bawa bro kuta kartanegara kan  pada prinsip beliau dan gerindra tuju laku pindah ibu kota dengan catat kata juru bicara pribadi prabowo dahnil anzar simanjuntak,1
