tweet,label
peneliti presiden perlu bentuk badan otorita pemindahan ibu kota  news berita terkini,0
pembangunan pltn  kalbar mantapkan pemindahan ibu kota negara  news berita terkini,1
prabowo setuju  pemindahan ibu kota  menjadi usulan rencana jangka panjang gerindra sejak,1
pemindahan ibu kota bukti jokowi  adanya pemerataan pembangunan,1
lah  kan sdh mau  ringankan dg pemindahan ibu kota,1
sudahlah pemerintah lebih paham biaya pemindahan ibu kota ri    ngurusin oke oce nga becus  usa bicara kalau tudak tau masalah,1
rakyatnya  banyak keluhan keluhan  pemerintahnya sibuk ngurusin pemindahan ibu kota memang benar jakarta terlalu berat menyokong beban  menjadi ibu kota    berat kalo ibu kota pindah  mengahabiskan banyak dana,-1
mas jangan terhasut dgn rencana pemindahan ibu kota negara habis energi    pengalihan issue pd  pemerintah kesulitan mencari cara utk meningkatkan pertumbuhan  perbaikan ekonomi,0
keputusan pemindahan ibu kota  sebenarnya atas dasar urgensi  cuma cari sensasi,-1
kok gue sanksi  pemindahan ibu kota   jadi soalnya udah keseringan si joko ngegombal,-1
jakarta  kalimantan  menjadi terobosan  sangat bermanfaat  indonesia   puluh tiga puluh se abad   mendatang      dukung  sukseskan pemindahan ibu kota negara  indonesia ,1
bila pemindahan ibu kota  dilakukan  pilgub dki artinya apa,0
kadin konsultasi publik pemindahan ibu kota  kurang,-1
siapa untung presiden   resmi mengumumkan pemindahan ibu kota  dipindahkan   jakarta  penuh  masalah siapa aktor atas masalah masalah   ,0
ridwan kamil nilai pemindahan ibu kota negara kurang efisien pic twitter com k mavrqlca,-1
peneliti presiden perlu bentuk badan otorita pemindahan ibu kota,0
gmna kabarnya pemindahan ibu kota    fix,0
apa sih urgensi nya pemindahan ibu kota coba dipikirkan ulang  pakde t bukan main main   iya kalau ekonomi   stabil harga karet  sawit melambung tinggi,-1
aspek historis calon ibu kota negara kutai kartanegara punya perjalanan panjang  sejarah  kerajaan tertua  nusantara pemindahan ibukota negara  kutai kartanegara mengulang  sejarah pusat peradaban nusantara,0
jujur yah pindah ibu kota malah bikin sedih good bye hutan  jatung borneo kamu bakal jdi kenangan gara mega proyek yg gak penting pdahal  yg jauh lebih penting  pemindahan ibu kota,-1
dilakukan bertahap pemindahan ibu kota selesai,0
kebangun  tidur abis mimpi pendukung militan petahana mulai ketar ketir karna   transparansi kajian pemindahan ibu kota heuheu,-1
pemindahan ibu kota tak lebih  kompensasi politik    proyek pasca pilpres kondisi kaltim   justru memprihatinkan  tersandera konsesi pertambangan perkebunan sawit  izin kehutanan,-1
ps jujur prabowo hatta  pindahkan ibu kota negar prabowo dukung rencana jokowi soal pemindahan ibu kota bantah pdip gerindra baru bahas pemindahan ibu kota  jokowi minta,1
btw pemindahan ibu kota terkesan terburu  apa dgn jakarta  apa  kalimantan,0
gubernur kaltim pemindahan ibu kota  bukit soeharto  samboja nama ibukota baru cocoknya kota administrasi soeharto,0
ekonom sebut pemindahan ibu kota  kaltim  kurangi ketimpangan pic twitter com wpyyryenly,1
barusan baca baca  pemindahan ibu kota baru sekarang makes sense sih  kaltim dipilih    kekurangannya  gue stupid opinion thread,1
masyarakat gunung mas diminta hormati keputusan pemindahan ibu kota,0
politikus demokrat sebut pemindahan ibu kota harusnya  jajak pendapat dulu warta ekonomi,-1
  pemindahan ibu kota  kaltim terkesan jadi keputusan final padahal banyak uu yg  diubah dibuat baru kalau dpr  mau       kajian bappenas  diuji publik  akademisi lembaga penelitian  bahkan dpr intinya  final,-1
gue merasa  pemerintah  memonopoli wacana pemindahan ibu kota  setting wacana   berkutat  penentuan lokasi  olah masalah pemindahan ibu kota negara  soal lokasi  justru abai  masalah masalah substantif,-1
negara dikelola  sporadis,0
smg semua proses pemindahan ibu kota  mengalami kendala yg berarti  pembangunan indonesia sentris semakin lancar,1
