tweet,label
teliti presiden perlu bentuk badan otorita pindah ibu kota  news berita kini,0
bangun pltn  kalbar mantap pindah ibu kota negara  news berita kini,1
prabowo tuju  pindah ibu kota  jadi usul rencana jangka panjang gerindra sejak,1
pindah ibu kota bukti jokowi  ada perata bangun,1
lah  kan sdh mau  ringan dg pindah ibu kota,1
sudah perintah lebih paham biaya pindah ibu kota ri    ngurusin oke oce nga becus  usa bicara kalau tudak tau masalah,1
rakyat  banyak keluh keluh  perintah sibuk ngurusin pindah ibu kota memang benar jakarta terlalu berat sokong beban  jadi ibu kota    berat kalo ibu kota pindah  mengahabiskan banyak dana,-1
mas jangan hasut dgn rencana pindah ibu kota negara habis energi    alih issue pd  perintah sulit cari cara utk tingkat tumbuh  baik ekonomi,0
putus pindah ibu kota  benar atas dasar urgensi  cuma cari sensasi,-1
kok gue sanksi  pindah ibu kota   jadi soal udah sering si joko ngegombal,-1
jakarta  kalimantan  jadi terobos  sangat manfaat  indonesia   puluh tiga puluh se abad   datang      dukung  sukses pindah ibu kota negara  indonesia ,1
bila pindah ibu kota  laku  pilgub dki arti apa,0
kadin konsultasi publik pindah ibu kota  kurang,-1
siapa untung presiden   resmi umum pindah ibu kota  pindah   jakarta  penuh  masalah siapa aktor atas masalah masalah   ,0
ridwan kamil nilai pindah ibu kota negara kurang efisien pic twitter com k mavrqlca,-1
teliti presiden perlu bentuk badan otorita pindah ibu kota,0
gmna kabar pindah ibu kota    fix,0
apa sih urgensi nya pindah ibu kota coba pikir ulang  pakde t bukan main main   iya kalau ekonomi   stabil harga karet  sawit lambung tinggi,-1
aspek historis calon ibu kota negara kuta kartanegara punya jalan panjang  sejarah  raja tua  nusantara pindah ibukota negara  kuta kartanegara ulang  sejarah pusat adab nusantara,0
jujur yah pindah ibu kota malah bikin sedih good bye hutan  jatung borneo kamu bakal jdi kenang gara mega proyek yg gak penting pdahal  yg jauh lebih penting  pindah ibu kota,-1
laku tahap pindah ibu kota selesai,0
bangun  tidur abis mimpi dukung militan tahana mulai ketar tir karna   transparansi kaji pindah ibu kota heuheu,-1
pindah ibu kota tak lebih  kompensasi politik    proyek pasca pilpres kondisi kaltim   justru prihatin  sandera konsesi tambang kebun sawit  izin hutan,-1
ps jujur prabowo hatta  pindah ibu kota negar prabowo dukung rencana jokowi soal pindah ibu kota bantah pdip gerindra baru bahas pindah ibu kota  jokowi minta,1
btw pindah ibu kota kes buru  apa dgn jakarta  apa  kalimantan,0
gubernur kaltim pindah ibu kota  bukit soeharto  samboja nama ibukota baru cocok kota administrasi soeharto,0
ekonom sebut pindah ibu kota  kaltim  kurang timpang pic twitter com wpyyryenly,1
barusan baca baca  pindah ibu kota baru sekarang makes sense sih  kaltim pilih    kurang  gue stupid opinion thread,1
masyarakat gunung mas minta hormat putus pindah ibu kota,0
politikus demokrat sebut pindah ibu kota harus  jajak dapat dulu warta ekonomi,-1
  pindah ibu kota  kaltim kes jadi putus final padahal banyak uu yg  ubah buat baru kalau dpr  mau       kaji bappenas  uji publik  akademisi lembaga teliti  bahkan dpr inti  final,-1
gue rasa  perintah  monopoli wacana pindah ibu kota  setting wacana   kutat  tentu lokasi  olah masalah pindah ibu kota negara  soal lokasi  justru abai  masalah masalah substantif,-1
negara kelola  sporadis,0
smg semua proses pindah ibu kota  alami kendala yg arti  bangun indonesia sentris makin lancar,1
jual aset negara  modal pindah ibu kota    sesuai  daulat negara  sedang bangun,-1
pindah ibu kota yakin kurang masalah jakarta via,1
surya paloh pindah ibu kota cermin berani perintah jokowi pic twitter com r jxb uh,1
siapa untung presiden   resmi umum pindah ibu kota  pindah   jakarta  penuh  masalah siapa aktor atas masalah masalah   ,0
 aju  dpr ri kena usul pindah ibu kota ri lihat situasi konyol pasca milu nyata yg kmrn tarung skrg gandeng tangan  pesimis dpr ri  tegas tuntut selesai isu lingkung  kalimantan  lanjut vonis adil pak joko,-1
presiden kirim surat  dpr kena pindah ibu kota pic twitter com zzdysjods,0
bangun pltn  kalbar mantap pindah ibu kota negara pic twitter com dg ufdn tr,1
pindah ibu kota proyeksi picu risiko krisis energi cnn indonesia pic twitter com kjdocn u,-1
beban jakarta  sejak orde baru  beban macam masalah yg  pernah cari jalan keluar thn orde baru   pindah ibu kota  jonggol pindah gagal total terus ikut sby gagal  padahal rugi macet dijakarta triliun thn,-1
alas pindah ibu kota  beban jakarta  terlalu berat pic twitter com k jxscmayg,1
mudah an biaya pindah ibu kota  jadi ajang mega korupsi edisi baru  indonesia,-1
banyak debat ihwal urgensi pindah ibu kota sebut,0
alih alih  periode   membanguna manusia  genjot justru pindah ibu kota,-1
 masalah pindah ibu kota kan  bahas kemarin,0
pindah ibu kota  kalimantan timur   timbul arus urbanisasi,0
