tweet,label
aspek historis calon ibu kota negara kutai kartanegara punya perjalanan panjang  sejarah  kerajaan tertua  nusantara pemindahan ibukota negara  kutai kartanegara mengulang  sejarah pusat peradaban nusantara,0
gubernur kaltim pemindahan ibu kota  bukit soeharto  samboja nama ibukota baru cocoknya kota administrasi soeharto,0
politikus demokrat sebut pemindahan ibu kota harusnya  jajak pendapat dulu warta ekonomi,-1
  pemindahan ibu kota  kaltim terkesan jadi keputusan final padahal banyak uu yg  diubah dibuat baru kalau dpr  mau       kajian bappenas  diuji publik  akademisi lembaga penelitian  bahkan dpr intinya  final,-1
negara dikelola  sporadis,0
alasan pemindahan ibu kota  beban jakarta  terlalu berat pic twitter com k jxscmayg,1
mudah an biaya pemindahan ibu kota  menjadi ajang mega korupsi edisi terbaru  indonesia,-1
pemindahan ibu kota  kalimantan timur   menimbulkan arus urbanisasi,0
 beberapa aspek  dikaji  pemindahan ibu kota ,0
setuju alasan realisasi sila  keadilan sosial  seluruh rakyat indonesia dgn pemerataan multiplier effect pemindahan ibu kota  alasan teknis lainnya atas kondisi jkt  pulau jawa,1
pemindahan ibu kota mengalihkan isu papua,-1
pertanyaan sederhananya  jk  turut mengomentari pemindahan ibu kota negara mk apa tanggapan  dgn prmintaan kawan  anies baswedan gub dki jkt yg meminta rp t utk perbaiki dki jkt adakah komen cerdas dr ,0
abis ngumumin pemindahan ibu kota negara biasanya dijawab pake gempa entah  daerah mana we ll see,-1
kakak dapid td lg meeting pemindahan ibu kota katanya,0
bapak tdk menolak tp bapak cuma menjelaskan kakurangannya sja tp tdk sisi baiknya coba bapak sma  utarakan  baiknya dr pemindahan ibu kota biar masyarakat jgn  liat pandangan bapak dr sisi  membuat arah pemikiran masyarakat  arah,0
   perlu diketahui soal pemindahan ibu kota  beberapa poin  perlu,0
pemindahan ibu kota bukan solusi justru menambah masalah baru    jalur obor cina  justru  memudahkan cina menguasai indonesia pic twitter com um zmmt xj,-1
pemindahan ibu kota trending  twitter lihat komentar komentar lucu warganet via,0
proses pemindahan memakan biaya t sebagian ditanggung wilayah ibu kota baru eh  bener sih mindahin  provinsi terkaya se indonesia biar duitnya kepake ,-1
terkait rencana pemindahan ibu kota  kalimantan banyak  kebakaran jenggot mendengar  tsb  karna  jadi pindah  jualan agama buat berpolitik  bakalan laku  kalimantan bener  bang,1
pemindahan ibu kota sebaiknya melalui undang undang,-1
   perlu diketahui soal pemindahan ibu kota  beberapa poin  per,0
