tweet,label
aspek historis calon ibu kota negara kuta kartanegara punya jalan panjang  sejarah  raja tua  nusantara pindah ibukota negara  kuta kartanegara ulang  sejarah pusat adab nusantara,0
gubernur kaltim pindah ibu kota  bukit soeharto  samboja nama ibukota baru cocok kota administrasi soeharto,0
politikus demokrat sebut pindah ibu kota harus  jajak dapat dulu warta ekonomi,-1
  pindah ibu kota  kaltim kes jadi putus final padahal banyak uu yg  ubah buat baru kalau dpr  mau       kaji bappenas  uji publik  akademisi lembaga teliti  bahkan dpr inti  final,-1
negara kelola  sporadis,0
alas pindah ibu kota  beban jakarta  terlalu berat pic twitter com k jxscmayg,1
mudah an biaya pindah ibu kota  jadi ajang mega korupsi edisi baru  indonesia,-1
pindah ibu kota  kalimantan timur   timbul arus urbanisasi,0
 beberapa aspek  kaji  pindah ibu kota ,0
tuju alas realisasi sila  adil sosial  seluruh rakyat indonesia dgn perata multiplier effect pindah ibu kota  alas teknis lain atas kondisi jkt  pulau jawa,1
pindah ibu kota alih isu papua,-1
tanya sederhana  jk  turut komentar pindah ibu kota negara mk apa tanggap  dgn prmintaan kawan  anies baswedan gub dki jkt yg minta rp t utk baik dki jkt ada komen cerdas dr ,0
abis ngumumin pindah ibu kota negara biasa jawab pake gempa entah  daerah mana we ll see,-1
kakak dapid td lg meeting pindah ibu kota kata,0
bapak tdk tolak tp bapak cuma jelas kakurangannya sja tp tdk sisi baik coba bapak sma  utara  baik dr pindah ibu kota biar masyarakat jgn  liat pandang bapak dr sisi  buat arah pikir masyarakat  arah,0
   perlu tahu soal pindah ibu kota  beberapa poin  perlu,0
pindah ibu kota bukan solusi justru tambah masalah baru    jalur obor cina  justru  mudah cina kuasa indonesia pic twitter com um zmmt xj,-1
pindah ibu kota trending  twitter lihat komentar komentar lucu warganet via,0
proses pindah makan biaya t bagi tanggung wilayah ibu kota baru eh  bener sih mindahin  provinsi kaya se indonesia biar duit kepake ,-1
kait rencana pindah ibu kota  kalimantan banyak  bakar jenggot dengar  tsb  karna  jadi pindah  jual agama buat politik  bakal laku  kalimantan bener  bang,1
pindah ibu kota baik lalu undang undang,-1
   perlu tahu soal pindah ibu kota  beberapa poin  per,0
 ngebayangin gmna proses pindah ibu kota  yg  kasih gambar,0
f pdip pindah ibu kota pernah bicara  komisi xi,0
timbang  tambah utang gitu maksud  nikmat gelintir orang kok  menjastifikasi  kalah menang  kalau   mikir  tolong dampak  ekonomi depan bagaimana baik  pindah ibu kota begitu penting,-1
ngomong apa kau lek sok jago kira mimpin negara  enak kira ide pindah ibu kota  siapa  era  belum,0
harap n nyata realitas yg  teral mobil esemka vs pindah ibu kota,-1
serius nnya skema ppp alias kpbu  proses pindah ibu kota bentuk kongkrit nya  apa  ntar pake sistem bot     baca detail nyari  web kalian ga nemu cc,0
  bicara untung rugi pindah ibu kota negara luar  mana dana bangun ibu kota negara krn  sangat suka,0
skema pembiayan pindah ibu kota negara lewat ,0
pindah ibu kota pindah thn pilih presiden mulai bakal pilih mpr  masa jabat lama thn  realisasi,0
bisnis ekspedisi bakal tingkat iring pindah ibu kota  kaltim pic twitter com jsqir c,1
seperti    besar  sengaja tutup balik rencana pindah ibu kota  apa  entah,-1
pecah belah cuma gara gara penting politik pro kontra pindah ibu kota pro kontra bubar banser fpi pro kontra investor asing cukong pro kontra pin emas mobil dinas jabat pro kontra opm,0
pikir klo pindah ibu kota bukan pikir ide pak jokowi apa jadi isi tl twitter ,0
pak dar tanya yah    jamin kalo proses pindah ibu kota dana nya gak  korupsi,-1
pindah ibu kota utk penting siapa rakyat  curiga koq seperti sangat paksa   agenda  yg sembunyi,-1
pindah ibu kota baru tak beban apbn begini presiden jokowi rinci sumber biaya kuta kertanegara dki kertanegara kaltim pic twitter com rcjkjewmcn,0
semua terlalu sibuk urusin pindah ibu kota ayo semua sibuk perbaikin moral ,-1
anies minta anggar t  cantik dki pindahin ibu kota anggar t koq  lebih murah anggar pindah kota pantesan dki  bikin amburadul  anies  tuju utk oleh anggar t wah asik anggar  jadi bancak,1
jaring advokasi tambang jatam kira pindah ibu kota    untung milik,-1
apa  pindah ibu kota  nambah utang  modal swasta yg libat  china ,-1
knp ibu kota hrus paksa pindah pdhal  banyak kerja perintah yg  yg lbih penting spt jangan naikin iur bpjs jangan naikin listrik  bbm pindah ibu kota  kerja besar besar biaya  lain pikir logis utk sejahtera rakyat dulu lah,-1
gubernur dki jakarta anies baswedan tanggap positif rencana pindah ibu kota   pindah  pusat perintah  jakarta tetap prioritas bangun  tetap jadi kota bisnis uang pusat dagang  jasa,1
 luar pro kontra pindah ibu kota semua  punya pandang yg pro  yg kontra   pindah    semua siap aja beli gedung perintah  jadiin pesantren tahfizh hehehe biar jkt jd kota pic twitter com w hxhfvp,1
yuk simak alas pindah ibu kota  muka presiden joko widodo  konferensi pers  istana negara jakarta senin pic twitter com lswm kpdrl,0
sepi respon rakyat tak  gegap gempita tak  harap pindah ibu kota  jadi agenda gelintir elit   demagog politik  makelar apa untung gesa  kondisi ekonomi yg morat marit hutang tumpuk ampun,-1
 laku usaha minta  pindah ibu kota indonesia  dki jakarta  kalimantan timur laku hati hati  tengah kondisi ekonomi  tak tentu,1
 kondisi   plus hutang negara  t bangga  pindah ibu kota  butuh biaya t gue  nyari apa sih urgensi tengah ekonomi  lemah,-1
 kata kalang usaha kait pindah ibu kota  kaltim,0
baca data calon ibu kota presiden jokowi baru  sampai wacana pindah tuju provinsi kalimantan timur  wilayah  aju  kabupaten kuta kartanegara  kabupaten najam,0
kait pindah ibu kota mardani pks perintah  segera aju undang undang,0
apbn  biaya pindah ibu kota  kalimantan timur besar rp triliun   total anggar  butuh,1
masyarakat gunung mas minta hormat putus pindah ibu kota,1
ini alas pindah ibu kota baru  oenajam pasir utara  kuta kartenegara pic twitter com trcmr xw m,0
mohon kaji  kabid mitigasi gempa  tsunami bmkg daryono kata rencana pindah ibu kota baru  rencana  matang kondisi geografis  kalimantan dasar data bmkg temu pernah jadi gempa  tsunami pic twitter com kyctlvhezo,-1
pak presiden  d kaji dulu pindah ibu kota  rakyat   banyak miskin anggur d mana mana,-1
jalan  proses pindah ibu kota bmkg   siap rencana tambah sensor gempa  pulau kalimantan,1
pindah ibu kota  untung ekonomi  signifikan,-1
pindah ibu kota cuma alih isu haha,-1
bambang kata kaji pindah ibu kota,0
soal pindah ibu kota amat ikan  catat,0
pingin samyang malem karna lewat emois sama pindah ibu kota  blokir internet papua,-1
apa  jadi berat kalang dpr  rencana pindah ibu kota  bahas ruu ibu kota baru  jalan mulus  dpr nonton bahas  pkl wib live streaming pic twitter com qfl tysvwm,0
berapa urgensi pindah ibu kota,0
jokowi  putus pindah ibu kota bakal tel dana hingga rp triliun,1
gerindra dukung pindah ibu kota  wakil ketua komisi ii dpr   mengat,1
alih alih soal papua  usai makin kesini makin panas sontak perintah putus pindah ibu kota,-1
pak f  rekomendasi tempat yg  tampung orang sana perihal event  kantor sy kait pindah ibu kota terima kasih,0
 jumlah negara pindah ibu kota  mulus  bayang,-1
gerindra eksekutif jangan pihak putus pindah ibu kota  sisi mampu biaya pindah ibukota  butuh dana  besar hampir rp triliun tanya uang         defisit anggar,-1
 pindah ibu kota   biaya   biaya bagaimana  pakai  bayar hutang ln indonesia  kalau ibu kota pindah  kalimantan  dampak utang wilayah hijau  indonesia  jakarta mau  ubah jadi hutan,-1
gerindra dukung pindah ibu kota  wakil ketua komisi ii dpr   kata pindah ibu kota bukan perkara  mudah   perintah  timbang mampu uang negara,-1
jadi udah sah   obrol warkop pindah ibu kota tuh sih,0
masyarakat kalimantan timur pasti terima pindah ibu kota pic twitter com pd yqiph,1
pindah ibu kota  nafi masalah lingkung  hadap jakarta  kalimantan   jadi perhati utama presiden  pulih  izin tambang  calon ibu kota baru,1
oalah publik  baca kaji dalam bappenas kait pindah ibu kota  mana ,0
studi dalam naskah akademis pindah ibu kota  akses   kampus perlu tauu,0
tahap awal pindah ibu kota mulai tahun,1
ketua dpr dukung pindah ibu kota  kaltim,1
presiden joko widodo sampai butuh biaya pindah ibu kota capai rp triliun butuh biaya sebut  persen  penuh  apbn,1
pdip  komisi xi pindah ibu kota pernah bicara lewat net,0
pimpin buat putus pindah ibu kota   banyak timbang  udah konsultasi  nasihat uang ahli lingkung hidup ahli bangun kota timbang kritik  saran analisis   banyak bgt jadi jangan bacot ngegas dulu,1
anies pasti pindah ibu kota tak ganggu bangun jakarta pic twitter com jhzladgnu,1
 cari thread  pindah ibu kota,0
tuju gak tuju sih soal kayak  bbrp yg perlu korban gitu kan pindah ibu kota  gak  merta semua bakal pindah  sana  bakal banyak efek  sih ,0
   dasar hukum  pindah ibu kota negara pic twitter com omjzc ytrd,0
maksud  umum presiden tadi jelas   surat  dpr ri  aju pindah ibu kota  presiden sendiri sadar kalau pindah ibu kota  tuju anggota dpr ri jadi masalah  mana  lucu  mana,1
pindah ibu kota  laksana  perhati lingkung hidup prinsip sustainable finance and development  depan jangan terlalu fokus  bangun kota  korban lingkung hidup,-1
pindah ibu kota  benar buat wujudin cita dukung pak prabowo masa pilpres dulu  akhir yg dulu   gmaps istana negara kertanegara bakal sampean  istana kuta kartanegara beda dikit gpp  mirip selamat  pak jokowi  pak prabowo,1
gagas sejak era soekarno presiden jokowi jelas alas perlu pindah ibu kota negara,1
mantap selamat atas pindah ibu kota negara republik indonesia,1
pindah ibu kota jadi   paling tarik  bincang  satu minggu   lebih akun  bicara soal pindah ibu kota rustika herlambang pic twitter com bpkiowuzx,0
timbang sayyida ali luar biasa tunjuk cerdas  kebangsawanan beliau kalau kasus pindah ibu kota skrg tunjuk  yg balik jauh  sayyidina ali allahu alam,-1
jawapan kalian paling jg isu pindah ibu kota bkn ad  rezim  dr dl iya emang betul tp lihat kondisi adil sosial bg slrh rakyt indonsia jungkir balik anggar g ad kalau mengharapkn semua hutang untk mbangun  lbh pintar,-1
 sibuk  pindah ibu kota  aku b aja reaksi positivisme aja dah sama perintah,0
 putus pindah ibu kota   era pak jkw   mesti selesai  era pak jokowi ingat  besar skala  semua aspek insya allah  mulai   kalah besar   lanjut  selesai,1
ekonom sebut pindah ibu kota tak kuat dongkrak ekonomi,-1
presiden jokowi surati dpr soal pindah ibu kota negara pic twitter com n iqpvwiy,0
simpul  data kaji  tri  badan  buka  presiden umum pindah ibu kota,-1
wawancara  kepala daerah  penjuru kaltim lepas presiden jokowi tetap lokasi ibu kota negara  petinggi bumi etam  syukur selip harap besar  balik pindah pusat perintah lengkap ketuk pic twitter com lkvxjids,1
mungkin pindah ibu kota laku  adil simak tulis  kawan kawan ikut,0
pindah ibu kota  jakarta  kalimantan timur perlu penuh syarat formal   sisi legalitas  anggar,-1
soal pindah ibu kota asli gue   ngerti plus minus    rekomendasi artikel panjang  comprehensif soal ,0
bener  klo cm papar    file ppt  emang gak layak jadi alas pindah ibu kota,-1
jokowi sebut strategi baru perlu masuk buat regulasi,1
 uu tuntas  pindah ibu kota umum,-1
 baru tau pindah ibu kota negara  kaltim  karena  habis masa kontrak nya  dki,-1
ekonom ui pindah ibu kota  untung ekonomi  signifikan,-1
ekonom indef fadhil hasan  lihat cara pandang   pindah ibu kota   cipta trigger  ekonomi beri multiplier effect  daerah daerah  pic twitter com fssgvwi vt,1
gagas sejak era soekarno presiden jokowi jelas alas perlu pindah ibu kota negara,1
twittizen sahred alas pindah ibu kota  beban jakarta  terlalu berat pic twitter com uodlnl z,1
gdn alas pindah ibu kota  beban jakarta  terlalu berat pic twitter com cijofd rjr,1
suara bogor shared alas pindah ibu kota  beban jakarta  terlalu berat pic twitter com kzu hi vy,1
cuma pikir apa umum pindah ibu kota  sbg bentuk alih isu  keras blokir internet  papua,0
telkomsel pindah ibu kota momen pas perata jaring telekomunikasi,1
 amal bahas undang undang soal pindah ibu kota   kait  perintah  lintas sektor,0
alas sy  tuju  perintah  mampu jelas alas utama pindah ibu kota  sisi   banyak masalah yg lebih penting yg   selesai  perintah,-1
selamat petang sobatani presiden republik indonesia ir joko widodo jelas  konteks pindah ibu kota  perata ekonomi  seluruh pulau  indonesia    dorong,1
bro pindah ibu kota  rupa anugerah  presiden lanjut  bangun dikhabarkan makan waktu thn  mulai bangun awal thn,1
beban berat bkn  jakarta sj pindah bukan solusi  bagai masalah  ibu kota,-1
tabrak undang undang republik indonesia nomor tahun ttg pindah ibu kota negara   laku  presiden   dapat tuju dpr ubah  revisi dulu uu no tahun baru putus ,-1
aspek hukum pindah ibu kota  jelas  umum,-1
 hingga datang pindah ibu kota  fokus  bangun kawasan inti pusat perintah  kawasan prioritas  bangun gedung perintah jalan infrastruktur tunjang lain tahun target  pindah ibu kota pic twitter com a q mebchm,1
pindah ibu kota  lewat beberapa kaji masuk tinjau  lokasi  sering sebut  jadi calon ibu kota baru  najam paser utara  kuta kartanegara,1
polri tak berat pindah ibu kota  kalimantan timur,1
tak sangka pindah ibu kota butuh dana besar rp triliun kata jokowi persen asal  apbn,-1
perintah segera siap ruu pindah ibu kota  kaltim,1
segitu banyak masalah  indonesia knp fokus  pindah ibu kota ,-1
pindah ibu kota bukan hak perogatif presiden,-1
pindah ibu kota butuh waktu lebih  satu tahun,1
habis wacana pindah ibu kota baru selesai masalah  papua moga papua  pulih  bangkit ,1
agree with kang emil sehat badan  finansial uang negara  arsitek indonesia jadi gubernur jabar kritik putus jokowi soal pindah ibu kota,0
dana pindah ibu kota  asal  apbn anggap  investasi   picu dunia usaha  ikut bantu dana pindah ibu kota,1
kait pindah ibu kota ridwan kamil boros lahan,-1
aku kira pindah ibu kota    jadi wacana  anak gak percaya soal,-1
dpr ri pindah ibu kota  perhati lestari lingkung pic twitter com rcieb e p,0
kapan hti fpi pindah  alam kubur moga pindah ibu kota  kaltim bukan  terlalu bising dengar gaduh atas nama agama  tidak mampu berantas radikalisme rasialisme intoleransi  pulau jawa,-1
goodbye dki goodbye jkt mohon bantu bu  tenggelam jkt  selesai pindah ibu kota  sekali sama gabenernya ekspresi anies  jokowi putus ibu kota pindah  kaltim,0
syukur udah pernah  najam jauh   putus pindah ibu kota udah paling bener emang biar  perata bangun akhir jalan tol  kota  makin lancar ahay,1
pindah ibu kota baru  dampak positive  minta tenaga kerja bary namnya ibu kota baru usah besar  pindah kesana    langsung usah  butuh teenaga kerja,1
pindah  kaltim anggar rp triliun pindah ibu kota ri bukan cuma  apbn begini skema,1
pindah ibu kota telan biaya rp triliun duit  mana,-1
moga alam  yg  kalimantan  ganggu   aktivitas keserahkahan manusia moga  pindah ibu kota  kaltim  meganggu  rusak alam  yg   sana untuk indonesia moga jadi lebih baik  terus baik,1
 khalifah ali bin abi thalib pindah ibu kota negara politik kuasa  kota nabi  suci sungguh tak bayang pindah ibu kota  kota suci nabi  wilayah  cukup jauh  kufah irak sekarang prof,0
anggota dpr ri daerah pilih kalimantan timur kaltim hetifah sjaifudian ingat beberapa   perintah  proses pindah ibu kota sukses,0
jokowi  serah surat rencana pindah ibu kota  dpr,0
kalau ga sekarang kapan  kalau nunggu anak gunung krakatau letus  silah sih emang banyak penting org yg ga mau pindah ibu kota aku sih dukung pindah ibukota jd ga semrawut,1
pak apa baik gak voting  sama rakyat indonesia kaya milu gitu  bagi besar warga kurang tuju ada pindah ibu kota  pak jadi kan biar adil ,-1
pindah ibu kota  kurang macet   keluh rakyat  pindah jabat  keluh macet  biar rakyat cc,0
moga  tetap pindah ibu kota negara  kaltim gubernur tdk bikin putus nyata yg kontroversi ky kemarin amen,1
pindah ibu kota tanda lari  tanggung jawab,-1
sangat wajar lah asn berat  pindah ibu kota wajar  punya keluarga  hidup sana resiko kerja thats enough,-1
provinsi kalimantan timur akhir pilih  lokasi ibu kota negara  baru tepat   kabupaten  kuta kartanegara  najam paser utara presiden nyata pindah   lalu kaji  matang pic twitter com t tdnqcbtd,1
terus  pindah ibukota  kalimantan gmn nih min moga hutan kalimantan baik baik   jadi ibu kota,1
tuh kan bani kampret ribut pindah ibu kota baru awal mulai bangun  bupati penajan bangun makan waktu tahun jadi yg terima enak nya  presiden lanjut pak jokowi    nikmat duduk kursi ibu kota baru,1
konferensi pers presiden joko widodo  pindah ibu kota  istana negara jakarta senin siang,0
  sorot statement   pindah ibukota negara  tengah tengah negara  jadi perata bangun  statement  cantum dalam alas pindah ibu kota apa kata washington dc,1
pindah ibu kota untung elit politik  bisnis korban rakyat pic twitter com sfkrncjqc,-1
pindah ibu kota  ada ekonomi rakyat sedang  baik baik   bentuk tindak ketidakpedulian perintah  sejahtera finansial masyarakat,-1
hi kate biaya pindah ibu kota  lebih murah  biaya  minta  baik jakarta and also it s the first step to change our mindset to be not javacentric so i believe it s a worth expense to spend indonesia should no longer have javacentric mindset,1
begitu urgent  desak pindah ibu kota  ayo  banyak soal  yg lebih penting,-1
jangan  isu boros negara kait wacana pindah ibu kota luas lahan  guna  dapat saran  beberapa pihak kait lahan  guna  sesuai  proses meta  butuh dasar hukum  laku,-1
 bilang perintah cari aman  pindah ibu kota   rawan bencana tentu  minim risiko demo  ricuh  massa  banyak tp   bilang  bonus pindah  jawa  padat ,1
jokowi  biaya pindah ibu kota guna apbn,1
jokowi  biaya pindah ibu kota guna apbn,1
lho dpr  terima naskah akademis perintah soal pindah ibu kota,0
 kad tikai  tengkar dki tolak pindah ibu kota potensi cipta tikai  tengkar baru   bagus,-1
 esemka  hutang  banyak  sekarang bicara pindah ibu kota pic twitter com dhau zrdi,-1
