tweet,label
Aspek historis calon ibu kota negara  Kutai Kartanegara punya perjalanan panjang dalam sejarah sebagai kerajaan tertua di Nusantara  Pemindahan ibukota negara ke Kutai Kartanegara mengulang kembali sejarah pusat peradaban Nusantara     …,0
Gubernur Kaltim: Pemindahan Ibu Kota di Bukit Soeharto dan Samboja       …   nama ibukota baru cocoknya Kota Administrasi Soeharto,0
Politikus Demokrat sebut Pemindahan Ibu Kota Harusnya Ada Jajak Pendapat Dulu - Warta Ekonomi    …,-1
"Lagi pula, pemindahan ibu kota ke Kaltim terkesan jadi keputusan final. Padahal banyak UU yg harus diubah/dibuat baru. Kalau DPR nggak mau, ya nggak bisa. Lagi pula juga, kajian Bappenas harus diuji publik, oleh akademisi, lembaga penelitian, dan bahkan DPR. Intinya belum final!",-1
Negara dikelola secara sporadis.. #pemindahanibukota,0
Alasan Pemindahan Ibu Kota karena Beban Jakarta Sudah Terlalu Berat     pic.twitter.com/k7jxScMaYg,1
Mudah2an biaya pemindahan ibu kota tidak menjadi ajang mega korupsi edisi terbaru di Indonesia. #saveindonesia #IbuKotaBaru #kpk #korupsi,-1
Pemindahan ibu kota ke Kalimantan Timur bagaimanapun akan menimbulkan arus urbanisasi    …,0
Ada beberapa aspek yang dikaji dalam pemindahan ibu kota ini.,0
"setuju...  Alasan: realisasi sila ke 5. Keadilan sosial bagi seluruh rakyat indonesia dgn pemerataan(multiplier effect pemindahan ibu kota), dan alasan teknis lainnya atas kondisi jkt dan pulau jawa",1
Pemindahan ibu kota mengalihkan isu papua ~,-1
"Pertanyaan sederhananya adalah, jk Anda turut mengomentari pemindahan Ibu Kota Negara, mk apa tanggapan Anda dgn prmintaan Kawan Anda, Anies Baswedan-Gub DKI Jkt yg meminta Rp. 571 T utk perbaiki DKI Jkt...??? Adakah komen cerdas dr Anda...???",0
"Abis ngumumin pemindahan ibu kota negara, biasanya dijawab pake gempa entah di daerah mana. We'll see...",-1
Kakak dapid td lg meeting pemindahan ibu kota katanya...,0
bapak tdk menolak tp bapak cuma menjelaskan kakurangannya sja .. tp tdk sisi baiknya .. coba bapak sma2 kita utarakan hal baiknya dr pemindahan ibu kota .. biar masyarakat jgn hanya liat pandangan bapak dr 1 sisi .. sehingga membuat arah pemikiran masyarakat hanya 1 arah,0
Hal-hal yang Perlu Diketahui Soal Pemindahan Ibu Kota: Ada beberapa poin yang perlu…    ,0
pemindahan ibu kota bukan solusi justru menambah masalah baru karena ada di jalur OBOR cina yang justru akan memudahkan cina menguasai Indonesia #BatalkanPindahIbuKota #IbuKotaBaru #IbuKotapindah pic.twitter.com/uM1zmMt7Xj,-1
"Pemindahan Ibu Kota Trending di Twitter, Lihat Komentar-komentar Lucu Warganet    … via ",0
"proses pemindahan memakan biaya 466 T, sebagian ditanggung wilayah ibu kota baru.. eh ya bener sih mindahin ke provinsi terkaya se Indonesia🤣👍🏻 biar duitnya kepake ya~",-1
"Terkait rencana pemindahan Ibu Kota di kalimantan, banyak yang kebakaran jenggot mendengar hal tsb, kenapa??,, karna jika jadi pindah, maka jualan2 agama buat berpolitik nggak bakalan laku di kalimantan. Bener nggak bang  ??,",1
Pemindahan Ibu Kota Sebaiknya Melalui Undang-undang    …,-1
Hal-hal yang Perlu Diketahui Soal Pemindahan Ibu Kota Ada beberapa poin yang per     …,0
Masih ngebayangin gmna proses pemindahan ibu kota.... Ada yg bisa kasih gambaran??,0
F-PDIP: Pemindahan Ibu Kota Pernah Dibicarakan di Komisi XI    …,0
"Dipetimbangkan untuk menambah utang gitu maksudnya? Dan dinikmati segelintir orang.   Kok bisa menjastifikasi dengan kalah menangnya saja.. Kalau masih bisa mikir ya tolonglah. Dampak untuk ekonomi kedepannya bagaimana baiknya, apakah pemindahan ibu kota sebegitu penting?",-1
"Ngomong apa kau lek, sok jago dikira mimpin negara ini enak? dikira ide pemindahan ibu kota dari siapa? dari era sebelum sebelumnya",0
"Harapan n kenyataan,, realitas yg tidak teralisasi Mobil Esemka vs Pemindahan Ibu Kota",-1
"Serius nnya, skema PPP alias KPBU dalam proses pemindahan ibu kota bentuk kongkrit nya seperti apa ya ? Ntar pake sistem BOT atau ? Dimana saya bisa baca detailnya ? Nyari di web kalian ga nemu cc:   ",0
Mari Kita Bicara untung rugi Pemindahan Ibu Kota Negara  Diluar dari mana Dana Pembangunan Ibu Kota Negara  Krn Saya sangat Suka,0
Skema Pembiayan Pemindahan Ibu Kota Negara     lewat  #ibukotaBaru #HilangnyaHargaDiriBangsa #RemoveBanser # #penajampaserutara,0
"Pemindahan ibu kota pindah thn 2024, pemilihan presiden mulai 2024 bakalan dipilih mpr dan masa jabatan selama 8thn akan terealisasi",0
"Bisnis Ekspedisi Bakal Meningkat, Seiring Pemindahan Ibu Kota ke Kaltim     … pic.twitter.com/jsqir5950C",1
"Sepertinya ada sesuatu yang besar yang sengaja ditutupi dibalik rencana pemindahan ibu kota, tapi apa itu, entahlah 😥 #BUBARKANBANSER #BUBARKANBANSER #BUBARKANBANSER",-1
Terpecah belah cuma gara gara kepentingan politik ; 1. Pro & Kontra Pemindahan Ibu Kota 2. Pro & Kontra Bubarkan Banser & FPI 3. Pro & Kontra Investor Asing & Cukong 4. Pro & Kontra Pin Emas & Mobil Dinas Pejabat 5. Pro & Kontra OPM #HilangnyaHargaDiriBangsa,0
"Kepikiran klo pemindahan ibu kota bukan pemikiran & ide pak jokowi, apa jadinya isi TL twitter ini :)",0
Pak sekedar tanya yah apakah ada yang menjamin kalo proses pemindahan ibu kota dana nya gak di korupsi #pindahibukota #PindahIbukotaUntukSiapa,-1
Pemindahan ibu kota utk kepentingan siapa...?!!! Rakyat pasti curiga koq sepertinya sangat dipaksakan. Apakah ada agenda lain yg tersembunyi...?!!!,-1
Pemindahan Ibu Kota Baru tak Bebani APBN? Begini Presiden Jokowi Rinci Sumber Pembiayaan      … #IbuKotapindah #ibukotaIndonesia  Kutai Kertanegara DKI Kertanegara #PindahIbuKotaUntukSiapa #pindahibukota Kaltim pic.twitter.com/RcJKjewMCn,0
"Semuanya terlalu sibuk urusin pemindahan ibu kota, ayolah semuanya sibuk perbaikin moral juga",-1
"Anies Minta anggaran 500T untuk mempercantik DKI, pindahin ibu kota anggaran 477T, Koq bisa lebih murah anggaran pemindahan kota...pantesan DKI di bikin amburadul oleh anies dengan tujuan utk memperoleh anggaran 500T.. Wah asik anggaran bisa dijadikan bancakan..",1
"""Jaringan Advokasi Tambang (JATAM) memperkirakan pemindahan Ibu kota ini hanya akan menguntungkan pemilik...    …",-1
Apa kah pemindahan ibu kota akan nambah utang lagi?? Pemodal swasta yg terlibat dari China ya??,-1
"Knp ibu kota hrus dipaksa pindah? Pdhal masih banyak pekerjaan pemerintah yg lain yg lbih penting, spt.. Jangan naikin iuran BPJS Jangan naikin Listrik dan BBM Pemindahan Ibu Kota adalah pekerjaan besar, besar biaya dan lainnya.. berpikir logis utk kesejahteraan rakyat dulu lah..",-1
"Gubernur DKI Jakarta Anies Baswedan Menanggapi Positif Rencana Pemindahan Ibu Kota. Karena Yang berpindah hanya pusat pemerintahan dan Jakarta tetap prioritas pembangunan dan tetap menjadi kota bisnis, keuangan, pusat perdagangan, dan jasa .   …",1
"#IbuKotaBaru #yusufmansur: Di luar pro kontra, pemindahan ibu kota, semua pasti punya pandangan. Yg pro, ada. Yg kontra, ada.  Jika pindah, saya dan kita semua siap2 aja beli gedung2 pemerintahan... Kita jadiin pesantren tahfizh, hehehe. Biar Jkt jd Kota #Pesantren. ... pic.twitter.com/W8HxHFVp69",1
"#KawanKabinet yuk simak alasan pemindahan Ibu Kota yang dikemukakan Presiden Joko Widodo pada konferensi pers di Istana Negara, Jakarta, Senin (26/8). #IbuKotaBaru #ibukotapindah #kebijakanpemerintah #kutaikartanegara #kartanegara #kalimantantimur pic.twitter.com/LSWm3KpDrl",0
"Sepi respon rakyat, tak ada gegap gempita, tak ada harapan, pemindahan Ibu Kota hanya jadi agenda segelintir elit... Mereka para demagog politik dan Makelar. apa untungnya tergesa2.  Dengan kondisi ekonomi yg morat marit,  hutang bertumpuk... Ampun..      …",-1
Para pelaku usaha meminta agar pemindahan Ibu kota Indonesia dari DKI Jakarta ke Kalimantan Timur dilakukan hati-hati di tengah kondisi ekonomi yang tak menentu.    …,1
"Dalam kondisi seperti ini, plus hutang negara yang 5000 T,  berbanggalah  dengan pemindahan Ibu Kota yang butuh biaya 500 T.  Gue masih nyari apa sih urgensinya ditengah ekonomi yang lemah.      …",-1
Ini Kata Kalangan Pengusaha Terkait Pemindahan Ibu Kota ke Kaltim    …,0
Membaca Data Calon Ibu kota  Presiden Jokowi baru saja menyampaikan wacana pemindahan #IbuKotaBaru menuju Provinsi Kalimantan Timur. Dua wilayah yang diajukan adalah Kabupaten Kutai Kartanegara dan Kabupaten Penajam…    …,0
"Terkait Pemindahan Ibu Kota, Mardani PKS: Pemerintah Harus Segera Ajukan 6 Undang-Undang...    …",0
"APBN akan membiayai pemindahan ibu kota ke Kalimantan Timur sebesar Rp 93,5 triliun atau 19,2% dari total anggaran yang dibutuhkan.      …",1
Masyarakat Gunung Mas diminta hormati keputusan pemindahan ibu kota    …,1
Inilah Alasan Pemindahan Ibu Kota Baru di Oenajam Pasir Utara dan Kutai Kartenegara    … pic.twitter.com/trCmr0Xw3M,0
MOHON DIKAJI LAGI !! 🤔  Kabid Mitigasi Gempa dan Tsunami BMKG Daryono mengatakan perencanaan pemindahan ibu kota baru harus direncanakan secara matang. Kondisi geografis dari Kalimantan berdasarkan data BMKG ditemukan pernah terjadi gempa dan tsunami.    pic.twitter.com/kYctLvHEZo,-1
"Pak presiden tolong d kaji dulu pemindahan ibu kota,karena rakyat kita masih banyak miskin,pengangguran d mana-mana.",-1
"Sejalan dengan proses pemindahan ibu kota, BMKG juga sudah menyiapkan rencana penambahan sensor gempa di Pulau Kalimantan     …",1
Pemindahan Ibu Kota Tidak Menguntungkan Ekonomi Secara Signifikan    …,-1
pemindahan ibu kota cuma pengalihan isu haha,-1
"Bambang mengatakan kajian pemindahan ibu kota,",0
"Soal pemindahan ibu kota, pengamat berikan dua catatan    …",0
Pingin samyang.. malem2.. karna kelewat emois sama pemindahan ibu kota dan pemblokiran internet Papua.,-1
Apa yang menjadi keberatan kalangan DPR terhadap rencana pemindahan ibu kota? Apakah pembahasan RUU ibu kota baru akan berjalan mulus di DPR? Nonton pembahasannya di #DuaArah pkl 22.00 WIB  live streaming:     pic.twitter.com/qfL4TySVWm,0
Seberapa Urgensinya pemindahan Ibu kota?    …,0
Jokowi sudah memutuskan pemindahan ibu kota bakal menelan dana hingga Rp 466 triliun.    ,1
"Gerindra Dukung Pemindahan Ibu Kota, Tetapi ...    …  ""Wakil Ketua Komisi II DPR itu juga mengat…    …",1
"Alih-alih persoalan papua belum usai, makin kesini makin memanas, sontak pemerintah memutuskan pemindahan ibu kota.#IbuKotaBaru",-1
"Pak F, tolong rekomendasikan tempat yg bisa menampung 6.661 orang disana? Perihal event dari kantor sy terkait pemindahan Ibu Kota. Terima kasih.    …",0
"Di Sejumlah Negara, Pemindahan Ibu Kota Tidak Semulus yang Dibayangkan    ",-1
