,feature,tfidf,ig_value
0,aaaccchhh,0.0,0.0007979393802941548
1,aaeu,0.0,0.0007841756598852001
2,aamiin,0.0,0.001750564702292623
3,ab,0.0,0.0007979393802941548
4,abad,0.0,0.0007841756598852001
5,abadi,0.0,0.0007841756598852001
6,abai,0.0,0.0023960637471287516
7,abdi,0.0,0.0007841756598852001
8,abdullah,0.0,0.0007841756598852001
9,abdur,0.0,0.0007979393802941548
10,abis,0.0,0.0033455500218242396
11,abu,0.0,0.0007979393802941548
12,abud,0.0,0.0009667991902708728
13,acap,0.0,0.0009667991902708728
14,acara,0.0,0.0009667991902708728
15,ace,0.0,0.0007841756598852001
16,acgx,0.0,0.0007979393802941548
17,ackting,0.0,0.0007979393802941548
18,actually,0.0,0.0007979393802941548
19,acuh,0.0,0.0007979393802941548
20,ad,0.0,0.001750564702292623
21,ada,0.0,0.025580398682692573
22,adab,0.0,0.0007841756598852001
23,adal,0.0,0.0007979393802941548
24,adan,0.0,0.0007979393802941548
25,adat,0.0,0.004724054105875952
26,ade,0.0,0.003700206386213045
27,adi,0.0,0.0007841756598852001
28,adik,0.0,0.002562605462349543
29,adil,0.0,0.0072942640845852225
30,adl,0.0,0.0007979393802941548
31,adlah,0.0,0.0009667991902708728
32,adlh,0.0,0.001581704892316127
33,admin,0.0,0.0015690787865341171
34,administrasi,0.0,0.0025350574622156063
35,adoyeoawd,0.0,0.0007979393802941548
36,adu,0.0,0.001581704892316127
37,aduk,0.0,0.0007841756598852001
38,advokasi,0.0,0.0009667991902708728
39,adxtev,0.0,0.0009667991902708728
40,aewdvfevff,0.0,0.0007841756598852001
41,afrika,0.0,0.0007979393802941548
42,agak,0.0,0.0007841756598852001
43,agam,0.0,0.0007979393802941548
44,agama,0.0,0.001581704892316127
45,agar,0.0,0.0007979393802941548
46,agen,0.0,0.0007841756598852001
47,agenda,0.0,0.005763222324387751
48,agr,0.0,0.0007979393802941548
49,agraria,0.0,0.0009667991902708728
50,agresi,0.0,0.0009667991902708728
51,agt,0.0,0.0007979393802941548
52,agung,0.0,0.0015690787865341171
53,agustus,0.0,0.011519170637806164
54,ah,0.0,0.0023799819319643145
55,aher,0.0,0.007570668261908553
56,ahergubernur,0.0,0.0009667991902708728
57,ahli,0.0,0.0072631335228960925
58,ahmad,0.0,0.003502068380703438
59,ahok,0.0,0.00782786419838466
60,air,0.0,0.0031514191263244395
61,aj,0.0,0.0023960637471287516
62,aja,0.0,0.0368602673867664
63,ajak,0.0,0.005763222324387751
64,ajar,0.0,0.009015739487319818
65,ajbrbrclar,0.0,0.0007979393802941548
66,aju,0.0,0.006496132260739085
67,akademik,0.0,0.003514694486485892
68,akademis,0.0,0.0009667991902708728
69,akademisi,0.0,0.001750564702292623
70,akal,0.0,0.004798887308911093
71,akan,0.0,0.003529616380837153
72,akar,0.0,0.0017643284227015776
73,akhir,0.0,0.016867450561061315
74,aki,0.0,0.0007841756598852001
75,akibat,0.0,0.0023799819319643145
76,aklamasi,0.0,0.0007979393802941548
77,akn,0.0,0.0023661976522391104
78,akrab,0.0,0.0007841756598852001
79,akselerasi,0.0,0.0007841756598852001
80,akses,0.0,0.004902117045589849
81,aksi,0.0,0.0031962517947285995
82,akta,0.0,0.0015966267866678319
83,aktif,0.0,0.0017643284227015776
84,aktivis,0.0,0.0023547108464403443
85,aktivitas,0.0,0.0023661976522391104
86,aktor,0.0,0.0019346310613057582
87,aktuql,0.0,0.0009667991902708728
88,aku,0.0,0.02943738068578261
89,akutu,0.0,0.0007979393802941548
90,akutuh,0.0,0.0007841756598852001
91,ala,0.0,0.001581704892316127
92,alam,0.0,0.005688389121352833
93,alami,0.0,0.0056987504250332055
94,alangkah,0.0,0.0015966267866678319
95,alas,0.0,0.039251417319921655
96,alaska,0.0,0.0007979393802941548
97,alat,0.0,0.0007979393802941548
98,alhamdulillah,0.0,0.001750564702292623
99,alhamdulliah,0.0,0.0007841756598852001
100,ali,0.0,0.004298365855435193
101,aliansi,0.0,0.0007841756598852001
102,alias,0.0,0.003179008306603226
103,alih,0.0,0.019097434416426307
104,allaahuakbarr,0.0,0.0007979393802941548
105,allah,0.0,0.0023799819319643145
106,allh,0.0,0.0007841756598852001
107,alokasi,0.0,0.0025476835679978382
108,alternatif,0.0,0.0023661976522391104
109,alumni,0.0,0.0009667991902708728
110,am,0.0,0.0007841756598852001
111,ama,0.0,0.001581704892316127
112,amal,0.0,0.003937370785597416
113,aman,0.0,0.00964232879510174
114,amanat,0.0,0.0009667991902708728
115,amat,0.0,0.02685316294671658
116,amatir,0.0,0.0023960637471287516
117,amazon,0.0,0.0007979393802941548
118,ambang,0.0,0.0007979393802941548
119,ambil,0.0,0.011759326753871813
120,ambrose,0.0,0.0009667991902708728
121,amdal,0.0,0.0007841756598852001
122,amen,0.0,0.0007841756598852001
123,americi,0.0,0.0009667991902708728
124,amerika,0.0,0.001581704892316127
125,amhar,0.0,0.0009667991902708728
126,ami,0.0,0.0007841756598852001
127,amien,0.0,0.03628499855618417
128,amin,0.0,0.004298365855435193
129,aminnn,0.0,0.0009667991902708728
130,ampera,0.0,0.0007841756598852001
131,ampg,0.0,0.0007841756598852001
132,amplop,0.0,0.0007979393802941548
133,ampuh,0.0,0.0007979393802941548
134,an,0.0,0.005909309653147954
135,anaaaaa,0.0,0.0009667991902708728
136,anak,0.0,0.011457215035024504
137,analis,0.0,0.0007979393802941548
138,analisa,0.0,0.0019346310613057582
139,analisis,0.0,0.0023661976522391104
140,analogi,0.0,0.0007841756598852001
141,analytical,0.0,0.0009667991902708728
142,ancam,0.0,0.007185434031127258
143,ancang,0.0,0.0025350574622156063
144,and,0.0,0.004913621034991156
145,anda,0.0,0.0007979393802941548
146,andal,0.0,0.0007979393802941548
147,andrew,0.0,0.0009667991902708728
148,android,0.0,0.0009667991902708728
149,aneh,0.0,0.003997192467585675
150,anekdot,0.0,0.0009667991902708728
151,angan,0.0,0.0007979393802941548
152,anggap,0.0,0.00971166478274954
153,anggar,0.0,0.03859019964841548
154,anggara,0.0,0.0007979393802941548
155,anggota,0.0,0.01362454042088368
156,anggran,0.0,0.0007841756598852001
157,angin,0.0,0.0007841756598852001
158,angkat,0.0,0.007509477039663537
