,feature,tfidf,ig_value
0,aaaccchhh,0.0,0.0007979393802941548
1,aaeu,0.0,0.0007841756598852001
2,aamiin,0.0,0.001750564702292623
3,ab,0.0,0.0007979393802941548
4,abad,0.0,0.0007841756598852001
5,abadi,0.0,0.0007841756598852001
6,abai,0.0,0.0007979393802941548
7,abdullah,0.0,0.0007841756598852001
8,abdur,0.0,0.0007979393802941548
9,abis,0.0,0.0033455500218242396
10,abu,0.0,0.0007979393802941548
11,abud,0.0,0.0009667991902708728
12,acap,0.0,0.0009667991902708728
13,acara,0.0,0.0009667991902708728
14,ace,0.0,0.0007841756598852001
15,acgx,0.0,0.0007979393802941548
16,ackting,0.0,0.0007979393802941548
17,actually,0.0,0.0007979393802941548
18,ad,0.0,0.001750564702292623
19,adakah,0.0,0.0009667991902708728
20,adal,0.0,0.0007979393802941548
21,adanya,0.0,0.015218424275973641
22,adat,0.0,0.004724054105875952
23,ade,0.0,0.003700206386213045
24,adi,0.0,0.0007841756598852001
25,adik,0.0,0.002562605462349543
26,adil,0.0,0.0009667991902708728
27,adilan,0.0,0.0007979393802941548
28,adl,0.0,0.0007979393802941548
29,adlah,0.0,0.0009667991902708728
30,adlh,0.0,0.001581704892316127
31,admin,0.0,0.0015690787865341171
32,administrasi,0.0,0.0025350574622156063
33,adoyeoawd,0.0,0.0007979393802941548
34,adu,0.0,0.0007841756598852001
35,aduk,0.0,0.0007841756598852001
36,advokasi,0.0,0.0009667991902708728
37,adxtev,0.0,0.0009667991902708728
38,aewdvfevff,0.0,0.0007841756598852001
39,afrika,0.0,0.0007979393802941548
40,agaknya,0.0,0.0007841756598852001
41,agama,0.0,0.0007841756598852001
42,agaran,0.0,0.0007979393802941548
43,agen,0.0,0.0007841756598852001
44,agenda,0.0,0.005763222324387751
45,agr,0.0,0.0007979393802941548
46,agraria,0.0,0.0009667991902708728
47,agresi,0.0,0.0009667991902708728
48,agt,0.0,0.0007979393802941548
49,agung,0.0,0.0015690787865341171
50,agustus,0.0,0.011519170637806164
51,ah,0.0,0.0023799819319643145
52,aher,0.0,0.007570668261908553
53,ahergubernur,0.0,0.0009667991902708728
54,ahli,0.0,0.0072631335228960925
55,ahmad,0.0,0.003502068380703438
56,ahok,0.0,0.00782786419838466
57,air,0.0,0.0031514191263244395
58,aj,0.0,0.0023960637471287516
59,aja,0.0,0.0368602673867664
60,ajak,0.0,0.0007979393802941548
61,ajbrbrclar,0.0,0.0007979393802941548
62,ajukan,0.0,0.0007979393802941548
63,akademik,0.0,0.0025476835679978382
64,akademiknya,0.0,0.0009667991902708728
65,akademisi,0.0,0.001750564702292623
66,akademisnya,0.0,0.0009667991902708728
67,akal,0.0,0.004798887308911093
68,akankah,0.0,0.0019346310613057582
69,akar,0.0,0.0017643284227015776
70,akhir,0.0,0.00957909300605242
71,akhirnya,0.0,0.006509957843913616
72,aki,0.0,0.0007841756598852001
73,akibat,0.0,0.0023799819319643145
74,aklamasi,0.0,0.0007979393802941548
75,akn,0.0,0.0023661976522391104
76,akrab,0.0,0.0007841756598852001
77,akses,0.0,0.004902117045589849
78,aksi,0.0,0.0031962517947285995
79,akta,0.0,0.0015966267866678319
80,aktif,0.0,0.0017643284227015776
81,aktivis,0.0,0.0023547108464403443
82,aktivitas,0.0,0.0023661976522391104
83,aktor,0.0,0.0019346310613057582
84,aktuql,0.0,0.0009667991902708728
85,aku,0.0,0.015734737116611885
86,akutu,0.0,0.0007979393802941548
87,akutuh,0.0,0.0007841756598852001
88,ala,0.0,0.001581704892316127
89,alam,0.0,0.0031514191263244395
90,alangkah,0.0,0.0015966267866678319
91,alasan,0.0,0.03606901765943271
92,alasannya,0.0,0.0039787855490514
93,alaska,0.0,0.0007979393802941548
94,alat,0.0,0.0007979393802941548
95,alhamdulillah,0.0,0.001750564702292623
96,alhamdulliah,0.0,0.0007841756598852001
97,ali,0.0,0.004298365855435193
98,aliansi,0.0,0.0007841756598852001
99,alias,0.0,0.003179008306603226
100,alih,0.0,0.0007979393802941548
101,alihkan,0.0,0.0007979393802941548
102,allaahuakbarr,0.0,0.0007979393802941548
103,allah,0.0,0.0023799819319643145
104,allh,0.0,0.0007841756598852001
105,alokasi,0.0,0.0025476835679978382
106,alternatif,0.0,0.0023661976522391104
107,alumni,0.0,0.0009667991902708728
108,am,0.0,0.0007841756598852001
109,ama,0.0,0.001581704892316127
110,amali,0.0,0.0023661976522391104
111,aman,0.0,0.004902117045589849
112,amanat,0.0,0.0009667991902708728
113,amankan,0.0,0.0007841756598852001
114,amatiran,0.0,0.0023960637471287516
115,amazon,0.0,0.0007979393802941548
116,ambang,0.0,0.0007979393802941548
117,ambil,0.0,0.0025476835679978382
118,ambrose,0.0,0.0009667991902708728
119,amdal,0.0,0.0007841756598852001
120,amen,0.0,0.0007841756598852001
121,americi,0.0,0.0009667991902708728
122,amerika,0.0,0.001581704892316127
123,amhar,0.0,0.0009667991902708728
124,ami,0.0,0.0007841756598852001
125,amien,0.0,0.03628499855618417
126,amin,0.0,0.004298365855435193
127,aminnn,0.0,0.0009667991902708728
128,ampera,0.0,0.0007841756598852001
129,ampg,0.0,0.0007841756598852001
130,amplop,0.0,0.0007979393802941548
131,ampuh,0.0,0.0007979393802941548
132,an,0.0,0.005909309653147954
133,anaaaaa,0.0,0.0009667991902708728
134,anak,0.0,0.011457215035024504
135,anaknya,0.0,0.0007841756598852001
136,analis,0.0,0.0007979393802941548
137,analisa,0.0,0.0019346310613057582
138,analisis,0.0,0.0023661976522391104
139,analogi,0.0,0.0007841756598852001
140,analytical,0.0,0.0009667991902708728
141,ancaman,0.0,0.004779315197192657
142,ancang,0.0,0.0025350574622156063
143,and,0.0,0.004913621034991156
144,andalan,0.0,0.0007979393802941548
145,andalannya,0.0,0.0007979393802941548
146,andrew,0.0,0.0009667991902708728
147,android,0.0,0.0009667991902708728
148,aneh,0.0,0.0023960637471287516
149,anehnya,0.0,0.0007979393802941548
150,anekdot,0.0,0.0009667991902708728
151,angan,0.0,0.0007979393802941548
152,anggap,0.0,0.0023661976522391104
153,anggaran,0.0,0.03700283165181273
154,anggarannya,0.0,0.0007841756598852001
155,anggaranya,0.0,0.0007979393802941548
156,anggota,0.0,0.01362454042088368
