,feature,tfidf,ig_value
0,aaaccchhh,0,0.000797939
1,aaeu,0,0.000784176
2,aamiin,0,0.001750565
3,ab,0,0.000797939
4,abad,0,0.000784176
5,abadi,0,0.000784176
6,abai,0,0.002396064
7,abdi,0,0.000784176
8,abdullah,0,0.000784176
9,abdur,0,0.000797939
10,abis,0,0.00334555
11,abu,0,0.000797939
12,abud,0,0.000966799
13,acap,0,0.000966799
14,acara,0,0.000966799
15,ace,0,0.000784176
16,acgx,0,0.000797939
17,ackting,0,0.000797939
18,actually,0,0.000797939
19,acuh,0,0.000797939
20,ad,0,0.001750565
21,ada,0,0.025580399
22,adab,0,0.000784176
23,adal,0,0.000797939
24,adan,0,0.000797939
25,adat,0,0.004724054
26,ade,0,0.003700206
27,adi,0,0.000784176
28,adik,0,0.002562605
29,adil,0,0.007294264
30,adl,0,0.000797939
31,adlah,0,0.000966799
32,adlh,0,0.001581705
33,admin,0,0.001569079
34,administrasi,0,0.002535057
35,adoyeoawd,0,0.000797939
36,adu,0,0.001581705
37,aduk,0,0.000784176
38,advokasi,0,0.000966799
39,adxtev,0,0.000966799
40,aewdvfevff,0,0.000784176
41,afrika,0,0.000797939
42,agak,0,0.000784176
43,agam,0,0.000797939
44,agama,0,0.001581705
45,agar,0,0.000797939
46,agen,0,0.000784176
47,agenda,0,0.005763222
48,agr,0,0.000797939
49,agraria,0,0.000966799
50,agresi,0,0.000966799
51,agt,0,0.000797939
52,agung,0,0.001569079
53,agustus,0,0.011519171
54,ah,0,0.002379982
55,aher,0,0.007570668
56,ahergubernur,0,0.000966799
57,ahli,0,0.007263134
58,ahmad,0,0.003502068
59,ahok,0,0.007827864
60,air,0,0.003151419
61,aj,0,0.002396064
62,aja,0,0.036860267
63,ajak,0,0.005763222
64,ajar,0,0.009015739
65,ajbrbrclar,0,0.000797939
66,aju,0,0.006496132
67,akademik,0,0.003514694
68,akademis,0,0.000966799
69,akademisi,0,0.001750565
70,akal,0,0.004798887
71,akan,0,0.003529616
72,akar,0,0.001764328
73,akhir,0,0.016867451
74,aki,0,0.000784176
75,akibat,0,0.002379982
76,aklamasi,0,0.000797939
77,akn,0,0.002366198
78,akrab,0,0.000784176
79,akselerasi,0,0.000784176
80,akses,0,0.004902117
81,aksi,0,0.003196252
82,akta,0,0.001596627
83,aktif,0,0.001764328
84,aktivis,0,0.002354711
85,aktivitas,0,0.002366198
86,aktor,0,0.001934631
87,aktuql,0,0.000966799
88,aku,0,0.029437381
89,akutu,0,0.000797939
90,akutuh,0,0.000784176
91,ala,0,0.001581705
92,alam,0,0.005688389
93,alami,0,0.00569875
94,alangkah,0,0.001596627
95,alas,0,0.039251417
96,alaska,0,0.000797939
97,alat,0,0.000797939
98,alhamdulillah,0,0.001750565
99,alhamdulliah,0,0.000784176
100,ali,0,0.004298366
101,aliansi,0,0.000784176
102,alias,0,0.003179008
103,alih,0,0.019097434
104,allaahuakbarr,0,0.000797939
105,allah,0,0.002379982
106,allh,0,0.000784176
107,alokasi,0,0.002547684
108,alternatif,0,0.002366198
109,alumni,0,0.000966799
110,am,0,0.000784176
111,ama,0,0.001581705
112,amal,0,0.003937371
113,aman,0,0.009642329
114,amanat,0,0.000966799
115,amat,0,0.026853163
116,amatir,0,0.002396064
117,amazon,0,0.000797939
118,ambang,0,0.000797939
119,ambil,0,0.011759327
120,ambrose,0,0.000966799
121,amdal,0,0.000784176
122,amen,0,0.000784176
123,americi,0,0.000966799
124,amerika,0,0.001581705
125,amhar,0,0.000966799
126,ami,0,0.000784176
127,amien,0,0.036284999
128,amin,0,0.004298366
129,aminnn,0,0.000966799
130,ampera,0,0.000784176
131,ampg,0,0.000784176
132,amplop,0,0.000797939
133,ampuh,0,0.000797939
134,an,0,0.00590931
135,anaaaaa,0,0.000966799
136,anak,0,0.011457215
137,analis,0,0.000797939
138,analisa,0,0.001934631
139,analisis,0,0.002366198
140,analogi,0,0.000784176
141,analytical,0,0.000966799
142,ancam,0,0.007185434
143,ancang,0,0.002535057
144,and,0,0.004913621
145,anda,0,0.000797939
146,andal,0,0.000797939
147,andrew,0,0.000966799
148,android,0,0.000966799
149,aneh,0,0.003997192
150,anekdot,0,0.000966799
151,angan,0,0.000797939
152,anggap,0,0.009711665
153,anggar,0,0.0385902
154,anggara,0,0.000797939
155,anggota,0,0.01362454
156,anggran,0,0.000784176
157,angin,0,0.000784176
158,angkat,0,0.007509477
159,angkut,0,0.000797939
160,anh,0,0.000966799
161,anies,0,0.016100457
162,anis,0,0.000784176
163,anjir,0,0.001764328
164,ank,0,0.000797939
165,annavita,0,0.000797939
166,antar,0,0.004762046
167,antara,0,0.003179008
168,anthony,0,0.000784176
169,anti,0,0.000797939
170,antisipasi,0,0.000784176
171,antusias,0,0.003320279
172,antusiasme,0,0.003514694
173,anzar,0,0.003141073
174,aokrxjcree,0,0.000966799
175,ap,0,0.001569079
176,apa,0,0.077228473
177,apabila,0,0.004144166
178,aparat,0,0.000784176
179,aparatur,0,0.003151419
180,apbd,0,0.000966799
181,apbn,0,0.02283443
182,aphqhoyu,0,0.000797939
183,aplikasi,0,0.000966799
184,apln,0,0.000784176
185,apm,0,0.000784176
186,appid,0,0.000784176
187,apresiasi,0,0.002354711
188,aqkftd,0,0.000966799
189,ar,0,0.002354711
190,arah,0,0.003948875
191,argumen,0,0.004144166
192,argumentasi,0,0.000797939
193,ari,0,0.002379982
194,arief,0,0.001569079
195,arif,0,0.000797939
196,arsip,0,0.000966799
197,arti,0,0.011748934
198,artikel,0,0.000966799
199,artis,0,0.000784176
200,arya,0,0.00873858
201,as,0,0.002562605
202,asa,0,0.003514694
203,asai,0,0.001596627
204,asal,0,0.00886507
205,asasi,0,0.000797939
206,asemkakan,0,0.000966799
207,aseng,0,0.002396064
208,aset,0,0.003179008
209,asgard,0,0.000784176
210,asgardian,0,0.000784176
211,asi,0,0.000784176
212,asia,0,0.000784176
213,asing,0,0.004927426
214,asked,0,0.000784176
215,asli,0,0.003164064
216,asn,0,0.009022663
217,asong,0,0.000797939
218,asoy,0,0.000797939
219,aspek,0,0.013386101
220,aspeksindo,0,0.000784176
221,aspirasi,0,0.000797939
222,asshiddiqie,0,0.001596627
223,asshidiqie,0,0.001569079
224,astaga,0,0.000797939
225,asudahlah,0,0.000797939
226,asumsi,0,0.000784176
227,asyik,0,0.000797939
228,at,0,0.002366198
229,atama,0,0.000966799
230,atas,0,0.022377431
231,atau,0,0.002379982
232,ato,0,0.000966799
233,atur,0,0.008109302
234,atw,0,0.002396064
235,august,0,0.000784176
236,australia,0,0.000784176
237,avgqd,0,0.000797939
238,awa,0,0.000797939
239,awak,0,0.000966799
240,awal,0,0.007309253
241,awam,0,0.000784176
242,awas,0,0.003978786
243,axb,0,0.000966799
244,ayah,0,0.001581705
245,ayeuna,0,0.000797939
246,ayo,0,0.004144166
247,ayok,0,0.000966799
248,ayom,0,0.001596627
249,ayoo,0,0.000797939
250,ayt,0,0.000797939
251,ayul,0,0.000784176
252,azab,0,0.001764328
253,azfqzcjg,0,0.000797939
254,azzxnnfk,0,0.000784176
255,babak,0,0.000784176
256,babel,0,0.000784176
257,baca,0,0.026424493
258,bachmid,0,0.000784176
259,back,0,0.002396064
260,badan,0.364798597,0.008771443
261,bae,0,0.001581705
262,bagai,0,0.017345144
263,bagaimana,0,0.033876554
264,bagi,0,0.027170914
265,bagus,0,0.010190995
266,bah,0,0.000784176
267,bahagia,0,0.002354711
268,bahan,0,0.005266
269,bahas,0,0.058030957
270,bahasa,0,0.002562605
271,bahaya,0,0.002396064
272,bahkan,0,0.010195408
273,bahlul,0,0.000784176
274,bahwasanya,0,0.000784176
275,baik,0,0.063052504
276,baja,0,0.000784176
277,bajing,0,0.000797939
278,bak,0,0.000784176
279,bakal,0,0.023795449
280,bakar,0,0.004116576
281,bal,0,0.000784176
282,balance,0,0.001764328
283,balik,0,0.020949265
284,balikpapan,0,0.003164064
285,balqis,0,0.000784176
286,bambang,0,0.011942033
287,bambank,0,0.001750565
288,bambu,0,0.001750565
289,bamsoet,0,0.001934631
290,ban,0,0.000784176
291,bandar,0,0.000784176
292,bandara,0,0.001750565
293,banding,0,0.010535956
294,bandung,0,0.011992309
295,bang,0,0.014559347
296,banget,0,0.008310693
297,bangga,0,0.000797939
298,bangkit,0,0.000966799
299,bangkrut,0,0.002379982
300,bangsa,0,0.016178836
301,bangsat,0,0.000797939
302,bangun,0,0.070129217
303,bani,0,0.001596627
304,banjir,0,0.007130047
305,bank,0,0.001581705
306,banser,0,0.001764328
307,bantah,0,0.006039643
308,bantu,0,0.006475394
309,banya,0,0.000966799
310,banyak,0,0.062550554
311,bapak,0,0.022932459
312,bapake,0,0.000966799
313,bapenas,0,0.001581705
314,bapk,0,0.000784176
315,bappeda,0,0.001934631
316,bappenas,0,0.030919213
317,bara,0,0.003361632
318,barang,0,0.000784176
319,barangan,0,0.000784176
320,barat,0,0.031130577
321,barcelona,0,0.000797939
322,bareng,0,0.003320279
323,bargaining,0,0.000797939
324,baris,0,0.000784176
325,baru,0,0.14010876
326,barusan,0,0.001569079
327,bas,0,0.002366198
328,basa,0,0.001764328
329,basarah,0,0.000966799
330,based,0,0.001764328
331,basi,0,0.001764328
332,bastian,0,0.000784176
333,basuki,0,0.001750565
334,baswedan,0,0.006526088
