,feature,tfidf,ig_value
0,00,0.0,0.006409319570532812
1,000,0.0,0.0015690787865341171
2,03,0.0,0.0007841756598852001
3,03PersatuanIndonesia,0.0,0.001581704892316127
4,05,0.0,0.002717986206602019
5,08,0.0,0.004116576411032691
6,0Czq3836Bg,0.0,0.0009667991902708728
7,0Wwu9oYPpa,0.0,0.0007841756598852001
8,0b6a3GMWrY,0.0,0.0007841756598852001
9,0sO3v2jMMW,0.0,0.0007841756598852001
10,0v7WVGFgla,0.0,0.0007841756598852001
11,0vXNIQyBU4,0.0,0.0007979393802941548
12,0xO2X4h9Fw,0.0,0.0009667991902708728
13,10,0.0,0.004482740140536068
14,100,0.0,0.001581704892316127
15,10q6FmClyH,0.0,0.0007841756598852001
16,11,0.0,0.0017643284227015776
17,12,0.0,0.0007979393802941548
18,13,0.0,0.0015690787865341171
19,14,0.0,0.004312150135160175
20,15,0.0,0.001581704892316127
21,16,0.0,0.0023547108464403443
22,160rb,0.0,0.0007841756598852001
23,18,0.0,0.0007979393802941548
24,180,0.0,0.0007841756598852001
25,19,0.0,0.006526087847837703
26,190,0.0,0.0007841756598852001
27,1929,0.0,0.0009667991902708728
28,1945,0.0,0.002562605462349543
29,1956,0.0,0.0009667991902708728
30,1957,0.0,0.0009667991902708728
31,1960,0.0,0.0007841756598852001
32,1990an,0.0,0.0007979393802941548
33,1D5I9v3ige,0.0,0.0009667991902708728
34,1FqwXLA92P,0.0,0.0007979393802941548
35,1MGPhN7zn2,0.0,0.0007841756598852001
36,1S27hOQ6Rx,0.0,0.0009667991902708728
37,1keluarga,0.0,0.0007979393802941548
38,1nya,0.0,0.0007979393802941548
39,1p6C3NXCjG,0.0,0.0007841756598852001
40,1w9wBnuuta,0.0,0.0009667991902708728
41,1zZdYsjodS,0.0,0.0009667991902708728
42,20,0.0,0.007192896505684221
43,2007,0.0,0.0033455500218242396
44,2008,0.0,0.001750564702292623
45,2009,0.0,0.0007979393802941548
46,2013,0.0,0.001750564702292623
47,2014,0.0,0.004734415409555881
48,2018,0.0,0.0025350574622156063
49,2019,0.0,0.025478812366166226
50,2020,0.0,0.012357535018657995
51,2021,0.0,0.0007841756598852001
52,2024,0.0,0.02282042630560266
53,2045,0.0,0.0007841756598852001
54,21,0.0,0.0007979393802941548
55,21DdZLjUFc,0.0,0.0007979393802941548
56,21HSAKtehG,0.0,0.0007841756598852001
57,22,0.0,0.0025476835679978382
58,23,0.0,0.0007841756598852001
59,24,0.0,0.0023799819319643145
60,241,0.0,0.0007979393802941548
61,25,0.0,0.0007979393802941548
62,25jt,0.0,0.0007979393802941548
63,26,0.0,0.008597953633175726
64,263,0.0,0.0007841756598852001
65,27,0.0,0.0066767807148016
66,28,0.0,0.004298365855435193
67,28H,0.0,0.0007979393802941548
68,29,0.0,0.004298365855435193
69,2F,0.0,0.0007979393802941548
70,2IdUDMRSDU,0.0,0.0009667991902708728
71,2KRRELiubQ,0.0,0.0007841756598852001
72,2hVKRhWuN5,0.0,0.0007979393802941548
73,2qA6h2OaVX,0.0,0.0009667991902708728
74,2uoZfYbqsy,0.0,0.0009667991902708728
75,30,0.0,0.005451823032887493
76,300,0.0,0.0009667991902708728
77,32thn,0.0,0.0007979393802941548
78,34,0.0,0.0015966267866678319
79,34YFi16iwZ,0.0,0.0009667991902708728
80,35,0.0,0.0007979393802941548
81,350,0.0,0.0007979393802941548
82,36,0.0,0.0015966267866678319
83,38,0.0,0.0015690787865341171
