feature,tfidf
00,0.0
000,0.0
03,0.0
03PersatuanIndonesia,0.0
05,0.0
08,0.0
0Czq3836Bg,0.0
0Wwu9oYPpa,0.0
0b6a3GMWrY,0.0
0sO3v2jMMW,0.0
0v7WVGFgla,0.0
0vXNIQyBU4,0.0
0xO2X4h9Fw,0.0
10,0.0
100,0.0
10q6FmClyH,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
160rb,0.0
18,0.0
180,0.0
19,0.0
190,0.0
1929,0.0
1945,0.0
1956,0.0
1957,0.0
1960,0.0
1990an,0.0
1D5I9v3ige,0.0
1FqwXLA92P,0.0
1MGPhN7zn2,0.0
1S27hOQ6Rx,0.0
1keluarga,0.0
1nya,0.0
1p6C3NXCjG,0.0
1w9wBnuuta,0.0
1zZdYsjodS,0.0
20,0.0
2007,0.0
2008,0.0
2009,0.0
2013,0.0
2014,0.0
2018,0.0
2019,0.0
2020,0.0
2021,0.0
2024,0.0
2045,0.0
21,0.0
21DdZLjUFc,0.0
21HSAKtehG,0.0
22,0.0
23,0.0
24,0.0
241,0.0
25,0.0
25jt,0.0
26,0.0
263,0.0
27,0.0
28,0.0
28H,0.0
29,0.0
2F,0.0
2IdUDMRSDU,0.0
2KRRELiubQ,0.0
2hVKRhWuN5,0.0
2qA6h2OaVX,0.0
2uoZfYbqsy,0.0
30,0.0
300,0.0
32thn,0.0
34,0.0
34YFi16iwZ,0.0
35,0.0
350,0.0
36,0.0
38,0.0
39,0.0
3A,0.0
3RIBgD5NRP,0.0
3b6mcfHg6F,0.0
3cdSRIFkPH,0.0
3fNkCY6tJn,0.0
3mkVzdTXWj,0.0
3oGJsnqFt4,0.0
3x,0.0
40,0.0
400,0.0
41,0.0
43EPwx0DwV,0.0
446t,0.0
45,0.0
464lAlDfPx,0.0
466,0.0
466T,0.0
47,0.0
470,0.0
470T,0.0
4778VRSnGB,0.0
48AM,0.0
4BwiZ2mh9g,0.0
4CNbZD61My,0.0
4GCubGUpf5,0.0
4HNb8JTefd,0.0
4JFXD7FSRp,0.0
4LWaUL7ERu,0.0
4x56d53fKE,0.0
4z9ty9l3MC,0.0
50,0.0
500,0.0
500T,0.0
51,0.0
55,0.0
55JhMkYkkq,0.0
57,0.0
571,0.0
571T,0.0
5LofW1PvYI,0.0
5T,0.0
5XnuDJHfTk,0.0
5cc5WDhaxG,0.0
5hHrgyzTvK,0.0
5krzxQPjKF,0.0
5th,0.0
5triliun,0.0
60,0.0
61l6OiHYWQ,0.0
62,0.0
67,0.0
6BdzLsLmbd,0.0
6I9mKZPEFH,0.0
6T06GswxBL,0.0
6YIKz02KM9,0.0
6ZR5MnttnR,0.0
6anh66Sq7H,0.0
72hs5M2n8Z,0.0
75,0.0
7ITkAZUMuL,0.0
7LpjWGfEx8,0.0
7gblbPr3Mx,0.0
7ydr70E7II,0.0
800rb,0.0
81,0.0
8211,0.0
865,0.0
8ADoYeOaWD,0.0
8hrFM6FhWe,0.0
8nCQYK1MMp,0.0
8rExUxSyHK,0.0
8v10dx6d1r,0.0
8wQh1YIiM3,0.0
90,0.0
93,0.0
94,0.0
9WDsWPuouL,0.0
9kjdOCn3U8,0.0
9uQnK13hxJ,0.0
9yMy0zpX5R,0.0
AAACCCHHH,0.0
AB,0.0
ABUD,0.0
ADA,0.0
ADALAH,0.0
AGUSTUS,0.0
AHLI,0.0
AHMAD_BASARAH,0.0
AIMAN,0.0
AJA,0.0
AKAN,0.0
AKI,0.0
AKIPagitvOne,0.0
AKSES,0.0
AKSI,0.0
AKTA,0.0
AMAN,0.0
AMAT,0.0
AMDAL,0.0
AMEN,0.0
AMPG,0.0
ANDA,0.0
ANGGARAN,0.0
ANIES,0.0
ANTARA,0.31731425211998365
AP,0.0
APA,0.0
APAKAH,0.0
APBD,0.0
APBN,0.0
APLN,0.0
APM,0.0
AR,0.0
AS,0.0
ASASI,0.0
ASN,0.0
ATAS,0.0
AYUl7rTS3n,0.0
AZZXnnfK6i,0.0
Aamiin,0.0
Abadi,0.0
Abdullah,0.0
Abdur,0.0
Abu,0.0
Ace,0.0
Ada,0.0
AdadiKompas,0.0
Adakah,0.0
Adalah,0.0
Adanya,0.0
Adat,0.0
Ade,0.0
Adi,0.0
Adik,0.0
Aduk,0.0
Advokasi,0.0
Afrika,0.0
Agar,0.0
Agen,0.0
Agung,0.0
Agustus,0.0
Ah,0.0
Aher,0.0
AherGubernur,0.0
Ahli,0.0
Ahmad,0.0
